NPartida,Time,Apelido,Momento
208,Athletico Paranaense - PR,Cacá,12' (1ºT)
208,Athletico Paranaense - PR,Vitor Roque,45+3' (2ºT)
208,Fluminense - RJ,Guga,30' (2ºT)
208,Fluminense - RJ,João Neto,42' (2ºT)
209,Fortaleza - CE,Lucero,41' (1ºT)
209,Fortaleza - CE,Lucero,45+3' (1ºT)
209,Fortaleza - CE,Marinho,14' (2ºT)
209,Coritiba S.a.f. - PR,BENJAMIN,23' (2ºT)
210,America Saf - MG,Gonzalo Mastriani,16' (2ºT)
210,America Saf - MG,Rodrigo Varanda,45' (2ºT)
210,São Paulo - SP,Alexandre Pato,35' (2ºT)
211,Fluminense - RJ,Diogo Barbosa,45+1' (2ºT)
212,Botafogo - RJ,Marlon Freitas,1' (1ºT)
212,Botafogo - RJ,Joao Victor,18' (1ºT)
212,Flamengo - RJ,Bruno Henrique,27' (2ºT)
213,São Paulo - SP,Alan Franco,32' (1ºT)
213,São Paulo - SP,Luciano,45+12' (1ºT)
213,Coritiba S.a.f. - PR,Slimani,45+5' (1ºT)
217,Grêmio - RS,Suarez,30' (1ºT)
217,Cuiabá Saf - MT,RIKELME,17' (2ºT)
218,Athletico Paranaense - PR,Vitor Roque,33' (2ºT)
218,Atlético Mineiro - MG,Paulinho,5' (1ºT)
219,Bahia - BA,Ademir,44' (1ºT)
219,Vasco da Gama S.a.f. - RJ,Vegetti,18' (2ºT)
220,America Saf - MG,Juninho,9' (2ºT)
220,America Saf - MG,Rodrigo Varanda,28' (1ºT)
221,Athletico Paranaense - PR,Cacá,27' (1ºT)
221,Athletico Paranaense - PR,Alex Santana,38' (2ºT)
221,Athletico Paranaense - PR,Vitor Bueno,45+6' (2ºT)
222,Vasco da Gama S.a.f. - RJ,Vegetti,4' (2ºT)
222,Vasco da Gama S.a.f. - RJ,Praxedes,23' (1ºT)
222,Vasco da Gama S.a.f. - RJ,Gabriel Pec,28' (2ºT)
222,Vasco da Gama S.a.f. - RJ,Gabriel Pec,39' (2ºT)
222,Fluminense - RJ,Marcelo,1' (2ºT)
222,Fluminense - RJ,Lima,10' (2ºT)
223,Palmeiras - SP,Breno,45+6' (2ºT)
224,Cruzeiro Saf - MG,Bruno Rodrigues,25' (2ºT)
224,Cruzeiro Saf - MG,Matheus,40' (1ºT)
224,Cruzeiro Saf - MG,Nikao,44' (2ºT)
225,Red Bull Bragantino - SP,Vitinho,45+1' (1ºT)
225,Grêmio - RS,Joao Pedro,19' (1ºT)
226,Atlético Mineiro - MG,Paulinho,35' (2ºT)
227,Internacional - RS,BUSTOS,13' (2ºT)
227,Internacional - RS,Rene,25' (2ºT)
227,São Paulo - SP,Calleri,45+3' (1ºT)
228,Coritiba S.a.f. - PR,Andrey,45+4' (2ºT)
228,Coritiba S.a.f. - PR,Sebastian Gomez,1' (1ºT)
228,Bahia - BA,Ademir,34' (1ºT)
228,Bahia - BA,Thaciano,30' (1ºT)
228,Bahia - BA,Rafael Ratão,10' (1ºT)
228,Bahia - BA,Biel,28' (2ºT)
229,Fortaleza - CE,Lucero,26' (1ºT)
229,Fortaleza - CE,Yago,45+3' (2ºT)
229,Corinthians - SP,Pedrinho,32' (1ºT)
230,Cuiabá Saf - MT,Deyverson,35' (1ºT)
230,Cuiabá Saf - MT,Wellington Silva,40' (1ºT)
230,America Saf - MG,Rodrigo,10' (1ºT)
230,America Saf - MG,Felipe Azevedo,31' (1ºT)
231,Fluminense - RJ,Leo Fernandez,21' (2ºT)
232,Vasco da Gama S.a.f. - RJ,Zé Gabriel,8' (1ºT)
232,Vasco da Gama S.a.f. - RJ,Rossi,33' (1ºT)
232,Vasco da Gama S.a.f. - RJ,Gabriel Pec,35' (2ºT)
232,Vasco da Gama S.a.f. - RJ,Vegetti,5' (2ºT)
232,Vasco da Gama S.a.f. - RJ,Vegetti,17' (2ºT)
232,Coritiba S.a.f. - PR,Sebastian Gomez,34' (2ºT)
233,São Paulo - SP,James Rodriguez,33' (2ºT)
233,Fortaleza - CE,Lucero,7' (2ºT)
233,Fortaleza - CE,Welison,15' (1ºT)
234,Corinthians - SP,Gil,13' (2ºT)
236,Atlético Mineiro - MG,Paulinho,41' (1ºT)
237,Grêmio - RS,Joao Pedro,9' (1ºT)
238,Athletico Paranaense - PR,Erick,23' (1ºT)
238,Athletico Paranaense - PR,Alex Santana,44' (2ºT)
238,Internacional - RS,Carlos de Pena,35' (1ºT)
239,Bahia - BA,Camilo Cándido,14' (2ºT)
239,Santos - SP,Marcos Leonardo,27' (2ºT)
239,Santos - SP,Julio Furch,45+4' (2ºT)
240,Red Bull Bragantino - SP,Jadsom Silva,35' (1ºT)
240,Red Bull Bragantino - SP,Evangelista,45+9' (2ºT)
241,Flamengo - RJ,Pedro,15' (2ºT)
242,Botafogo - RJ,Tiquinho,6' (2ºT)
242,Goiás - GO,Halter,26' (1ºT)
243,São Paulo - SP,Calleri,40' (1ºT)
243,São Paulo - SP,Calleri,45+2' (1ºT)
243,Corinthians - SP,Angel Romero,3' (1ºT)
244,Santos - SP,Marcos Leonardo,14' (1ºT)
244,Santos - SP,Marcos Leonardo,45+2' (1ºT)
244,Santos - SP,Yeferson Soteldo,29' (2ºT)
244,Santos - SP,Tomás Rincón,45' (1ºT)
244,Vasco da Gama S.a.f. - RJ,Vegetti,30' (1ºT)
245,Red Bull Bragantino - SP,Eduardo Sasha,36' (2ºT)
245,Red Bull Bragantino - SP,Eric Ramires,44' (2ºT)
245,Palmeiras - SP,Endrick,15' (1ºT)
246,Cruzeiro Saf - MG,Luciano Castan,20' (1ºT)
246,America Saf - MG,Martin Benitez,28' (1ºT)
247,Atlético Mineiro - MG,Hulk,28' (2ºT)
247,Atlético Mineiro - MG,Igor Gomes,38' (2ºT)
248,Coritiba S.a.f. - PR,Victor,13' (1ºT)
248,Coritiba S.a.f. - PR,Slimani,45+3' (1ºT)
249,Fortaleza - CE,Thiago Galhardo,43' (1ºT)
249,Grêmio - RS,Suarez,34' (2ºT)
250,Cuiabá Saf - MT,Clayson,11' (2ºT)
250,Cuiabá Saf - MT,ALAN,18' (2ºT)
250,Cuiabá Saf - MT,Fernando,41' (2ºT)
251,Botafogo - RJ,Tiquinho,22' (1ºT)
251,Botafogo - RJ,Junior,19' (1ºT)
253,Palmeiras - SP,Ze Rafael,42' (1ºT)
253,Santos - SP,Marcos Leonardo,24' (2ºT)
253,Santos - SP,Tomás Rincón,45+1' (1ºT)
254,Corinthians - SP,Fabio Santos,34' (2ºT)
254,Flamengo - RJ,Gerson,10' (2ºT)
255,Goiás - GO,Matheus Babi,45+4' (1ºT)
255,Goiás - GO,Joao,4' (2ºT)
255,Goiás - GO,Guilherme,27' (1ºT)
255,Goiás - GO,Guilherme,45+1' (1ºT)
255,Bahia - BA,Everaldo,14' (1ºT)
255,Bahia - BA,Everaldo,37' (1ºT)
255,Bahia - BA,Everaldo,7' (2ºT)
255,Bahia - BA,Biel,45+5' (2ºT)
255,Bahia - BA,Gilberto,17' (1ºT)
255,Bahia - BA,Rafael Ratão,11' (2ºT)
256,Atlético Mineiro - MG,Hulk,12' (2ºT)
256,Coritiba S.a.f. - PR,Matheus,18' (2ºT)
256,Coritiba S.a.f. - PR,Slimani,45' (2ºT)
257,Internacional - RS,WANDERSON,3' (2ºT)
257,Internacional - RS,Alan Patrick,23' (2ºT)
257,Internacional - RS,Valencia,6' (1ºT)
257,Grêmio - RS,Joao Pedro,22' (2ºT)
257,Grêmio - RS,Suarez,28' (2ºT)
258,Athletico Paranaense - PR,Pablo,45+1' (1ºT)
258,Red Bull Bragantino - SP,Eric Ramires,33' (1ºT)
259,Fortaleza - CE,Bruno Pacheco,22' (2ºT)
259,Fortaleza - CE,Lucero,30' (1ºT)
259,Fortaleza - CE,Machuca,10' (2ºT)
259,America Saf - MG,Gonzalo Mastriani,17' (1ºT)
259,America Saf - MG,Gonzalo Mastriani,22' (1ºT)
261,Fluminense - RJ,Lima,21' (1ºT)
261,Fluminense - RJ,Lima,10' (2ºT)
261,Fluminense - RJ,Jhon Arias,37' (2ºT)
261,Corinthians - SP,Fabio Santos,31' (1ºT)
261,Corinthians - SP,Yuri Alberto,9' (1ºT)
261,Corinthians - SP,Yuri Alberto,26' (1ºT)
262,Vasco da Gama S.a.f. - RJ,Payet,13' (2ºT)
263,Atlético Mineiro - MG,Hulk,2' (1ºT)
263,Atlético Mineiro - MG,Paulinho,30' (2ºT)
264,Red Bull Bragantino - SP,Eduardo Sasha,9' (1ºT)
264,Red Bull Bragantino - SP,Eduardo Sasha,28' (1ºT)
264,Red Bull Bragantino - SP,Léo Ortiz,39' (2ºT)
264,Red Bull Bragantino - SP,Eric Ramires,2' (2ºT)
265,Goiás - GO,Hugo,9' (1ºT)
265,Goiás - GO,Morelli,45+5' (1ºT)
266,Flamengo - RJ,Ayrton Lucas,38' (1ºT)
266,Flamengo - RJ,Pedro,43' (1ºT)
267,Grêmio - RS,Besozzi,7' (1ºT)
267,Athletico Paranaense - PR,Zapelli,37' (1ºT)
267,Athletico Paranaense - PR,Kaique,45+3' (2ºT)
268,Cuiabá Saf - MT,PITTA,36' (2ºT)
268,Cuiabá Saf - MT,Deyverson,24' (1ºT)
268,Cuiabá Saf - MT,Raniele,42' (2ºT)
269,Bahia - BA,Biel,43' (1ºT)
270,America Saf - MG,Martin Benitez,38' (1ºT)
270,Botafogo - RJ,Junior,21' (1ºT)
270,Botafogo - RJ,Junior,4' (2ºT)
271,Flamengo - RJ,Gerson,30' (2ºT)
272,Botafogo - RJ,Tiquinho,23' (1ºT)
272,Athletico Paranaense - PR,Pablo,41' (1ºT)
273,São Paulo - SP,Michel Araujo,20' (1ºT)
273,São Paulo - SP,Luciano,45+6' (2ºT)
273,São Paulo - SP,Pablo,23' (2ºT)
274,Corinthians - SP,Giuliano,45+8' (2ºT)
274,America Saf - MG,Martin Benitez,37' (1ºT)
275,Red Bull Bragantino - SP,Eduardo Sasha,16' (1ºT)
276,Atlético Mineiro - MG,Jemerson,42' (2ºT)
277,Internacional - RS,Alan Patrick,13' (1ºT)
277,Internacional - RS,Luiz Adriano,29' (2ºT)
277,Internacional - RS,BUSTOS,8' (2ºT)
277,Internacional - RS,WANDERSON,38' (1ºT)
277,Internacional - RS,Valencia,27' (1ºT)
277,Internacional - RS,Valencia,15' (2ºT)
277,Santos - SP,Maximiliano,34' (2ºT)
277,Santos - SP,Kevyson,1' (1ºT)
278,Palmeiras - SP,Joaquin Piquerez,45+3' (1ºT)
278,Palmeiras - SP,Gustavo Gomez,32' (1ºT)
279,Bahia - BA,Kanu,21' (1ºT)
279,Bahia - BA,Rafael Ratão,45+6' (2ºT)
280,Cuiabá Saf - MT,Clayson,1' (2ºT)
280,Goiás - GO,Guilherme,45+8' (1ºT)
281,Fluminense - RJ,Jhon Arias,36' (1ºT)
281,Fluminense - RJ,Jhon Arias,1' (2ºT)
281,Fluminense - RJ,Keno,7' (2ºT)
281,Fluminense - RJ,Keno,17' (2ºT)
281,Fluminense - RJ,Felipe Melo,16' (1ºT)
281,Goiás - GO,Julian,22' (2ºT)
281,Goiás - GO,Allano,4' (1ºT)
281,Goiás - GO,Matheus Babi,12' (1ºT)
282,Vasco da Gama S.a.f. - RJ,Alex Teixeira,38' (2ºT)
282,Internacional - RS,Valencia,13' (2ºT)
282,Internacional - RS,Mauricio,19' (1ºT)
283,Palmeiras - SP,Marcos Rocha,39' (2ºT)
283,Palmeiras - SP,Joaquin Piquerez,45+1' (1ºT)
283,Palmeiras - SP,Joaquin Piquerez,41' (2ºT)
283,Palmeiras - SP,Breno,16' (1ºT)
283,Palmeiras - SP,Breno,26' (1ºT)
284,Santos - SP,Marcos Leonardo,28' (2ºT)
284,Coritiba S.a.f. - PR,Matheus,3' (1ºT)
284,Coritiba S.a.f. - PR,Robson,10' (1ºT)
285,Red Bull Bragantino - SP,Talisson,38' (2ºT)
285,Atlético Mineiro - MG,Hulk,35' (1ºT)
285,Atlético Mineiro - MG,Igor Gomes,35' (2ºT)
286,Cruzeiro Saf - MG,Bruno Rodrigues,42' (2ºT)
286,Cruzeiro Saf - MG,Marlon,7' (2ºT)
286,Bahia - BA,Kanu,18' (1ºT)
287,Grêmio - RS,Nathan,35' (2ºT)
287,Grêmio - RS,Andre,40' (2ºT)
287,Grêmio - RS,Ferreira,30' (2ºT)
287,Flamengo - RJ,Luiz,43' (2ºT)
287,Flamengo - RJ,Everton,41' (1ºT)
288,Athletico Paranaense - PR,Vitor Bueno,45+2' (1ºT)
288,Athletico Paranaense - PR,Pablo,44' (1ºT)
288,Athletico Paranaense - PR,Erick,27' (1ºT)
288,America Saf - MG,Emmanuel Martinez,33' (2ºT)
288,America Saf - MG,Gonzalo Mastriani,11' (1ºT)
290,Corinthians - SP,Angel Romero,33' (2ºT)
