NPartida,Time,Apelido,Momento
37,Grêmio - RS,Cristaldo,6' (1ºT)
37,Red Bull Bragantino - SP,Matheus Fernandes,9' (1ºT)
37,Red Bull Bragantino - SP,Thiago Borbas,45+1' (2ºT)
37,Red Bull Bragantino - SP,Eduardo Sasha,8' (2ºT)
38,Athletico Paranaense - PR,Vitor Roque,28' (1ºT)
38,Athletico Paranaense - PR,Erick,35' (2ºT)
38,Flamengo - RJ,Gabriel Barbosa,15' (1ºT)
39,Bahia - BA,Biel,19' (2ºT)
39,Bahia - BA,David Duarte,23' (2ºT)
40,America Saf - MG,Aloisio,11' (1ºT)
40,America Saf - MG,Marlon,39' (2ºT)
40,Cuiabá Saf - MT,Ronald,45+1' (2ºT)
41,Flamengo - RJ,Éverton Ribeiro,3' (2ºT)
41,Flamengo - RJ,Pedro,7' (1ºT)
42,Botafogo - RJ,Carlos,36' (2ºT)
42,Botafogo - RJ,Tiquinho,12' (1ºT)
42,Botafogo - RJ,Tiquinho,19' (2ºT)
43,Palmeiras - SP,Mayke,23' (2ºT)
43,Palmeiras - SP,Luan Garcia,27' (2ºT)
43,Palmeiras - SP,Raphael Veiga,23' (1ºT)
43,Palmeiras - SP,Raphael Veiga,11' (2ºT)
43,Grêmio - RS,Bitello,45+2' (1ºT)
44,Santos - SP,Ângelo,5' (2ºT)
44,Santos - SP,Mendoza,14' (1ºT)
44,Santos - SP,Deivid Washington,3' (1ºT)
45,Red Bull Bragantino - SP,Helinho,33' (1ºT)
45,Red Bull Bragantino - SP,Helinho,43' (1ºT)
45,America Saf - MG,Aloisio,14' (1ºT)
45,America Saf - MG,Aloisio,32' (2ºT)
46,Fluminense - RJ,PH GANSO,43' (1ºT)
46,Fluminense - RJ,German Cano,8' (2ºT)
47,Athletico Paranaense - PR,Christian,32' (2ºT)
47,Athletico Paranaense - PR,Willian,45+5' (2ºT)
48,Vasco da Gama S.a.f. - RJ,Erick Marcus,34' (2ºT)
50,Atlético Mineiro - MG,Hulk,5' (2ºT)
50,Atlético Mineiro - MG,Pavon,26' (2ºT)
50,Atlético Mineiro - MG,Paulinho,41' (2ºT)
50,Atlético Mineiro - MG,Hyoran,12' (1ºT)
51,Fluminense - RJ,PH GANSO,10' (2ºT)
51,Fluminense - RJ,Nino,5' (1ºT)
52,Santos - SP,Deivid Washington,28' (1ºT)
53,Palmeiras - SP,Artur,19' (2ºT)
53,Red Bull Bragantino - SP,J. Capixaba,26' (2ºT)
54,Corinthians - SP,Roger Guedes,45+6' (1ºT)
54,São Paulo - SP,Michel Araujo,15' (1ºT)
55,Goiás - GO,Bruno,45+6' (1ºT)
55,Goiás - GO,Magno Jose,11' (2ºT)
55,Botafogo - RJ,Tiquinho,29' (1ºT)
56,Atlético Mineiro - MG,Paulinho,45+4' (2ºT)
56,Atlético Mineiro - MG,Vargas,2' (1ºT)
58,Athletico Paranaense - PR,Canobbio,45+7' (2ºT)
58,Athletico Paranaense - PR,Pablo,3' (2ºT)
58,Athletico Paranaense - PR,Willian,45' (2ºT)
59,Bahia - BA,Ademir,6' (2ºT)
59,Bahia - BA,Biel,35' (1ºT)
59,Flamengo - RJ,Matheus França,23' (1ºT)
59,Flamengo - RJ,Gabriel Barbosa,28' (1ºT)
59,Flamengo - RJ,David Luiz,45+4' (1ºT)
60,Cruzeiro Saf - MG,Marlon,24' (2ºT)
60,Cruzeiro Saf - MG,Henrique Dourado,32' (1ºT)
60,Cruzeiro Saf - MG,Gilberto,38' (2ºT)
60,Cruzeiro Saf - MG,Gilberto,45' (2ºT)
61,Flamengo - RJ,Leo Pereira,45+3' (2ºT)
62,Botafogo - RJ,Victor Cuesta,29' (2ºT)
63,São Paulo - SP,Beraldo,43' (2ºT)
63,São Paulo - SP,Rodrigo Nestor,41' (1ºT)
63,São Paulo - SP,Calleri,24' (1ºT)
63,São Paulo - SP,Juan,45+2' (2ºT)
63,Vasco da Gama S.a.f. - RJ,Matias Galarza,38' (2ºT)
63,Vasco da Gama S.a.f. - RJ,Barros,44' (1ºT)
65,Red Bull Bragantino - SP,Eduardo Sasha,16' (1ºT)
65,Red Bull Bragantino - SP,Thiago Borbas,40' (2ºT)
66,Cuiabá Saf - MT,Deyverson,36' (1ºT)
67,Grêmio - RS,Bitello,20' (2ºT)
67,Grêmio - RS,Suarez,7' (1ºT)
67,Grêmio - RS,Villasanti,31' (1ºT)
67,Internacional - RS,Joao Lucas,41' (2ºT)
68,Atlético Mineiro - MG,Hulk,45' (2ºT)
68,Atlético Mineiro - MG,Hyoran,35' (1ºT)
69,Bahia - BA,Everaldo,25' (1ºT)
69,Goiás - GO,Bruno,31' (1ºT)
70,America Saf - MG,Breno Lemos,1' (1ºT)
70,America Saf - MG,Felipe Azevedo,32' (1ºT)
70,Fortaleza - CE,Pochettino,25' (1ºT)
71,Flamengo - RJ,Ayrton Lucas,32' (1ºT)
71,Cruzeiro Saf - MG,Marlon,5' (1ºT)
72,Botafogo - RJ,Junior,3' (1ºT)
72,Botafogo - RJ,Luis Henrique,14' (2ºT)
73,São Paulo - SP,Pablo,11' (2ºT)
73,São Paulo - SP,David,45' (2ºT)
73,Goiás - GO,Magno Jose,28' (1ºT)
74,Corinthians - SP,Roger Guedes,13' (2ºT)
74,Corinthians - SP,Roger Guedes,45+1' (2ºT)
75,Red Bull Bragantino - SP,J. Capixaba,30' (2ºT)
75,Red Bull Bragantino - SP,Vitinho,30' (1ºT)
76,Atlético Mineiro - MG,Pavon,44' (1ºT)
76,Palmeiras - SP,Dudu,6' (2ºT)
77,Internacional - RS,WANDERSON,45+8' (2ºT)
77,Internacional - RS,Joao Lucas,4' (2ºT)
78,Athletico Paranaense - PR,Vitor Roque,33' (1ºT)
78,Grêmio - RS,Uvini,3' (2ºT)
78,Grêmio - RS,Cuiabano,30' (1ºT)
79,Fortaleza - CE,Silvio Romero,45+3' (2ºT)
79,Fortaleza - CE,Thiago Galhardo,41' (2ºT)
80,Cuiabá Saf - MT,Fernando,3' (1ºT)
81,Fluminense - RJ,Felipe Melo,33' (1ºT)
81,Fluminense - RJ,PH GANSO,27' (1ºT)
81,Red Bull Bragantino - SP,Thiago Borbas,8' (2ºT)
82,Vasco da Gama S.a.f. - RJ,Jair,12' (2ºT)
82,Flamengo - RJ,Ayrton Lucas,45+2' (1ºT)
82,Flamengo - RJ,Erick Pulgar,14' (1ºT)
82,Flamengo - RJ,Gerson,16' (1ºT)
82,Flamengo - RJ,Pedro,42' (1ºT)
83,Palmeiras - SP,Artur,29' (1ºT)
83,Palmeiras - SP,Rony,33' (1ºT)
83,Palmeiras - SP,Rony,27' (2ºT)
84,Santos - SP,Lucas Lima,11' (1ºT)
84,Internacional - RS,Luiz Adriano,3' (1ºT)
85,Cuiabá Saf - MT,Deyverson,8' (2ºT)
86,Atlético Mineiro - MG,Hulk,26' (1ºT)
87,Grêmio - RS,Reinaldo,38' (1ºT)
87,Grêmio - RS,Cristaldo,30' (1ºT)
87,São Paulo - SP,Calleri,14' (1ºT)
88,Athletico Paranaense - PR,Alex Santana,41' (1ºT)
90,America Saf - MG,Renato,41' (2ºT)
90,America Saf - MG,Danilo,28' (2ºT)
91,Flamengo - RJ,Everton,23' (1ºT)
91,Flamengo - RJ,Bruno Henrique,45+5' (2ºT)
91,Flamengo - RJ,Pedro,19' (2ºT)
92,Botafogo - RJ,Tiquinho,45+2' (1ºT)
92,Botafogo - RJ,Tiquinho,18' (2ºT)
93,Palmeiras - SP,Gabriel Menino,10' (1ºT)
93,Palmeiras - SP,Endrick,32' (2ºT)
94,Corinthians - SP,RUAN,35' (2ºT)
94,Cuiabá Saf - MT,Deyverson,9' (2ºT)
95,Goiás - GO,Matheus Peixoto,45+1' (1ºT)
95,Goiás - GO,Alesson,40' (2ºT)
95,Fluminense - RJ,German Cano,2' (1ºT)
95,Fluminense - RJ,Lima,1' (2ºT)
96,Atlético Mineiro - MG,Paulinho,16' (1ºT)
96,Red Bull Bragantino - SP,Eduardo Sasha,35' (1ºT)
97,Internacional - RS,WANDERSON,16' (1ºT)
97,Internacional - RS,Romulo,2' (1ºT)
97,Vasco da Gama S.a.f. - RJ,Rayan,28' (1ºT)
99,Bahia - BA,Kayky Chagas,17' (1ºT)
99,Bahia - BA,Arthur Sales,20' (2ºT)
99,Cruzeiro Saf - MG,Wesley Ribeiro Silva,45' (1ºT)
99,Cruzeiro Saf - MG,Bruno Rodrigues,30' (1ºT)
100,America Saf - MG,Wellington Paulista,30' (2ºT)
100,America Saf - MG,Danilo,45+6' (2ºT)
100,Athletico Paranaense - PR,Vitor Roque,9' (1ºT)
100,Athletico Paranaense - PR,Christian,3' (2ºT)
101,Fluminense - RJ,Guga,34' (1ºT)
101,Fluminense - RJ,Samuel Xavier,45+1' (2ºT)
102,Goiás - GO,Morelli,28' (2ºT)
103,São Paulo - SP,Gabriel Neves,19' (1ºT)
103,São Paulo - SP,Luciano,2' (2ºT)
103,Athletico Paranaense - PR,Vitor Roque,10' (1ºT)
104,Corinthians - SP,RUAN,27' (1ºT)
104,Corinthians - SP,Yuri Alberto,18' (1ºT)
105,Red Bull Bragantino - SP,Alerrandro,30' (2ºT)
105,Red Bull Bragantino - SP,Eduardo,40' (1ºT)
105,Red Bull Bragantino - SP,Henry Mosquera,3' (2ºT)
105,Red Bull Bragantino - SP,Henry Mosquera,35' (2ºT)
106,Fortaleza - CE,Lucero,34' (2ºT)
107,Grêmio - RS,Suarez,23' (2ºT)
107,Grêmio - RS,Villasanti,15' (2ºT)
107,America Saf - MG,Matheus,39' (1ºT)
107,America Saf - MG,Danilo,24' (1ºT)
108,Internacional - RS,Pedro,20' (2ºT)
109,Bahia - BA,Thaciano,45+2' (2ºT)
110,Botafogo - RJ,Tiquinho,15' (2ºT)
111,Fluminense - RJ,Lelê,3' (2ºT)
111,Fluminense - RJ,Gabriel Pirani,6' (2ºT)
111,Bahia - BA,Mingotti,27' (1ºT)
112,Vasco da Gama S.a.f. - RJ,Jair,31' (2ºT)
113,Botafogo - RJ,Tiquinho,27' (1ºT)
114,Santos - SP,Rodrigo,6' (2ºT)
114,Santos - SP,Mendoza,39' (1ºT)
114,Flamengo - RJ,Everton,21' (1ºT)
114,Flamengo - RJ,Erick Pulgar,11' (2ºT)
114,Flamengo - RJ,Éverton Ribeiro,4' (2ºT)
115,Red Bull Bragantino - SP,Sorriso,45+2' (1ºT)
115,Red Bull Bragantino - SP,Eduardo Sasha,6' (1ºT)
116,São Paulo - SP,Rafinha,3' (1ºT)
117,Grêmio - RS,Bitello,8' (2ºT)
117,Grêmio - RS,Suarez,20' (2ºT)
117,Grêmio - RS,Andre,38' (2ºT)
117,Grêmio - RS,Villasanti,2' (2ºT)
117,Grêmio - RS,Cristaldo,33' (1ºT)
118,Athletico Paranaense - PR,Vitor Roque,35' (1ºT)
119,Fortaleza - CE,Pochettino,8' (2ºT)
119,Fortaleza - CE,Guilherme,16' (2ºT)
119,Atlético Mineiro - MG,Alan Kardec,41' (2ºT)
120,America Saf - MG,Juninho,18' (1ºT)
120,Internacional - RS,Alexandre,39' (2ºT)
120,Internacional - RS,Jean Dias,17' (2ºT)
121,Flamengo - RJ,Gabriel Barbosa,15' (1ºT)
121,Flamengo - RJ,De Arrascaeta,18' (2ºT)
122,Botafogo - RJ,Carlos Alberto,45+5' (2ºT)
122,Botafogo - RJ,Luis Henrique,8' (2ºT)
123,São Paulo - SP,Luciano,42' (2ºT)
124,Red Bull Bragantino - SP,Eduardo Sasha,17' (1ºT)
125,Goiás - GO,Vinicius,24' (2ºT)
126,Atlético Mineiro - MG,Hulk,27' (1ºT)
126,Atlético Mineiro - MG,Zaracho,2' (1ºT)
126,America Saf - MG,Gonzalo Mastriani,13' (2ºT)
126,America Saf - MG,Gonzalo Mastriani,26' (2ºT)
128,Athletico Paranaense - PR,Vitor Roque,27' (2ºT)
128,Athletico Paranaense - PR,Vitor Bueno,21' (2ºT)
128,Palmeiras - SP,Gabriel Menino,12' (2ºT)
128,Palmeiras - SP,Endrick,22' (1ºT)
129,Bahia - BA,Kayky Chagas,20' (1ºT)
129,Grêmio - RS,Cristaldo,8' (1ºT)
129,Grêmio - RS,G. Martins,45+4' (2ºT)
130,Cuiabá Saf - MT,RIKELME,40' (2ºT)
130,Cuiabá Saf - MT,Denilson,30' (2ºT)
130,Cuiabá Saf - MT,Deyverson,7' (2ºT)
131,Fluminense - RJ,German Cano,24' (1ºT)
131,Fluminense - RJ,Martinelli,39' (1ºT)
