NPartida,Time,Substituido,Substituto
62,Botafogo - RJ,Carlos,Philipe
62,Botafogo - RJ,Gabriel,Marlon Freitas
62,Fluminense - RJ,Felipe Melo,Manoel
62,Fluminense - RJ,Gabriel Pirani,Lelê
62,Fluminense - RJ,Samuel Xavier,John Kennedy
62,Fluminense - RJ,Lima,Martinelli
63,São Paulo - SP,Luan Silva,Wellington Rato
63,São Paulo - SP,Gabriel Neves,Alisson
63,São Paulo - SP,Rodrigo Nestor,Michel Araujo
63,São Paulo - SP,Marcos Paulo,Pablo
63,São Paulo - SP,Calleri,Juan
63,Vasco da Gama S.a.f. - RJ,Matias Galarza,Rodrigo
63,Vasco da Gama S.a.f. - RJ,Barros,Alex Teixeira
63,Vasco da Gama S.a.f. - RJ,Figueiredo,Orellano
63,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Erick Marcus
63,Vasco da Gama S.a.f. - RJ,Pedro Raul,Carabajal
64,Santos - SP,Ângelo,Daniel Ruiz
64,Santos - SP,Lucas,Lucas
64,Santos - SP,Lucas Lima,Ivonei
64,Santos - SP,Lucas Pires,Joao
64,Santos - SP,Messias,Maicon
64,Palmeiras - SP,Artur,Luis Guilherme
64,Palmeiras - SP,Raphael Veiga,Richard Rios
64,Palmeiras - SP,Gustavo Gomez,Kaiky
64,Palmeiras - SP,Rony,Endrick
64,Palmeiras - SP,Dudu,Breno
65,Red Bull Bragantino - SP,Bruninho,Henry Mosquera
65,Red Bull Bragantino - SP,Eduardo Sasha,Thiago Borbas
65,Red Bull Bragantino - SP,Guilherme,Aderlan
65,Red Bull Bragantino - SP,Helinho,Eric Ramires
65,Red Bull Bragantino - SP,Matheus Fernandes,Jadsom Silva
65,Athletico Paranaense - PR,Hugo Moura,Fernandinho
65,Athletico Paranaense - PR,Vitor Bueno,Canobbio
65,Athletico Paranaense - PR,Cuello,Thiago
65,Athletico Paranaense - PR,David Terans,Vitor Roque
65,Athletico Paranaense - PR,Willian,Pablo
66,Cruzeiro Saf - MG,William,Igor Marques Paciencia Cardoso
66,Cruzeiro Saf - MG,Filipe Machado,Daniel JR
66,Cruzeiro Saf - MG,Ramiro,Wallisson
66,Cruzeiro Saf - MG,Neto,Gilberto
66,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Nikao
66,Cuiabá Saf - MT,Wellington Silva,Iury
66,Cuiabá Saf - MT,RIKELME,Patric
66,Cuiabá Saf - MT,Cafu,Pablo Ceppelini Gatto
66,Cuiabá Saf - MT,Deyverson,PITTA
66,Cuiabá Saf - MT,Denilson,Ronald
67,Grêmio - RS,Fabio,Thomas Luciano
67,Grêmio - RS,Bruno Alves,G. Martins
67,Grêmio - RS,Cristaldo,Galdino
67,Grêmio - RS,Bitello,Cuiabano
67,Grêmio - RS,Suarez,Vina
67,Internacional - RS,Gustavo,Nicolas Hernandez
67,Internacional - RS,Romulo,Jean Dias
67,Internacional - RS,Luiz Adriano,Alexandre
67,Internacional - RS,Moledo,WANDERSON
67,Internacional - RS,Mauricio,Carlos de Pena
68,Atlético Mineiro - MG,Edenilson,Cadu
68,Atlético Mineiro - MG,Dodo,Rubens
68,Atlético Mineiro - MG,Igor Gomes,Rodrigo Battaglia
68,Atlético Mineiro - MG,Hyoran,Pavon
68,Atlético Mineiro - MG,Patrick,Zaracho
69,Bahia - BA,Gabriel Xavier,Acevedo
69,Bahia - BA,Ryan,Chavez
69,Bahia - BA,Ademir,Arthur Sales
69,Bahia - BA,Biel,Kayky Chagas
69,Goiás - GO,Alesson,Gabriel Novaes
69,Goiás - GO,Julian,Vinicius
69,Goiás - GO,Magno Jose,Bruno
69,Goiás - GO,Matheus Peixoto,Philippe
70,America Saf - MG,Renato,Aloisio
70,America Saf - MG,Breno Lemos,Ale
70,America Saf - MG,Danilo,Nicolas
70,America Saf - MG,Felipe Azevedo,Juninho
70,America Saf - MG,Marcinho,Ricardo Silva
70,Fortaleza - CE,Pochettino,HERCULES
70,Fortaleza - CE,Caio,Romarinho
70,Fortaleza - CE,Lucero,Silvio Romero
70,Fortaleza - CE,Moises,Guilherme Augusto
70,Fortaleza - CE,Calebe,Yago
71,Flamengo - RJ,Thiago Maia,Victor Hugo
71,Flamengo - RJ,Matheus França,Everton
71,Flamengo - RJ,Leo Pereira,David Luiz
71,Cruzeiro Saf - MG,Igor Marques Paciencia Cardoso,William
71,Cruzeiro Saf - MG,Neto,Mateus
71,Cruzeiro Saf - MG,Wallisson,Matheus
71,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
71,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
72,Botafogo - RJ,Lucas,RAI
72,Botafogo - RJ,Luis Henrique,Joao Victor
72,Botafogo - RJ,Adryelson,Philipe
72,Botafogo - RJ,Carlos,Janderson
72,America Saf - MG,Renato,Aloisio
72,America Saf - MG,Everaldo,Mateus Gonçalves
72,America Saf - MG,Emmanuel Martinez,Ale
72,America Saf - MG,Felipe Azevedo,Gonzalo Mastriani
72,America Saf - MG,Breno Lemos,Juninho
73,São Paulo - SP,Rafinha,Diego
73,São Paulo - SP,Luciano,Wellington Rato
73,São Paulo - SP,Alisson,David
73,São Paulo - SP,Gabriel Neves,Michel Araujo
73,São Paulo - SP,Marcos Paulo,RODRIGUINHO
73,Goiás - GO,Alesson,Diego
73,Goiás - GO,Jackson,Fellipe Bastos
73,Goiás - GO,Julian,Apodi
73,Goiás - GO,Sander,Hugo
73,Goiás - GO,Matheus Peixoto,Gabriel Novaes
74,Corinthians - SP,Yuri Alberto,Felipe Augusto
74,Corinthians - SP,Fausto,Giuliano
74,Corinthians - SP,Maycon,Renato Augusto
74,Corinthians - SP,Adson,Wesley
74,Corinthians - SP,Bruno Mendez,Fagner
74,Fluminense - RJ,Felipe Melo,John Kennedy
74,Fluminense - RJ,German Cano,Lelê
74,Fluminense - RJ,Lima,ARTHUR
74,Fluminense - RJ,Guga,Giovanni
75,Red Bull Bragantino - SP,Eric Ramires,Gustavinho
75,Red Bull Bragantino - SP,Helinho,Henry Mosquera
75,Red Bull Bragantino - SP,Matheus Fernandes,Jadsom Silva
75,Red Bull Bragantino - SP,Vitinho,Sorriso
75,Santos - SP,Rodrigo,Camacho
75,Santos - SP,Yeferson Soteldo,Daniel Ruiz
75,Santos - SP,Lucas Pires,Dodi
75,Santos - SP,Ângelo,Weslley
75,Santos - SP,Deivid Washington,Bruno Mezenga
76,Atlético Mineiro - MG,Hyoran,Patrick
76,Atlético Mineiro - MG,Mariano,Renzo Saravia
76,Atlético Mineiro - MG,Rubens,Igor Gomes
76,Palmeiras - SP,Marcos Rocha,Mayke
76,Palmeiras - SP,Raphael Veiga,Jhon Jhon
76,Palmeiras - SP,Gabriel Menino,Richard Rios
76,Palmeiras - SP,Dudu,Breno
76,Palmeiras - SP,Rony,Endrick
77,Internacional - RS,Romulo,Igor Gomes
77,Internacional - RS,Alexandre,WANDERSON
77,Internacional - RS,Pedro,Luiz Adriano
77,Internacional - RS,THAUAN LARA,Rene
77,Bahia - BA,Everaldo,Mingotti
77,Bahia - BA,David Duarte,Ademir
77,Bahia - BA,Chavez,Ryan
78,Athletico Paranaense - PR,Fernando,Cuello
78,Athletico Paranaense - PR,Pablo,David Terans
78,Athletico Paranaense - PR,Christian,Alex Santana
78,Athletico Paranaense - PR,Madson,Khellven
78,Athletico Paranaense - PR,Vitor Bueno,Willian
78,Grêmio - RS,Vina,Andre
78,Grêmio - RS,Mila,Lucas Silva
78,Grêmio - RS,Fabio,Joao Pedro
78,Grêmio - RS,Galdino,Nathan
78,Grêmio - RS,Cuiabano,Diogo Barbosa
79,Fortaleza - CE,Lucero,Silvio Romero
79,Fortaleza - CE,Moises,Guilherme Augusto
79,Fortaleza - CE,Calebe,Yago
79,Fortaleza - CE,HERCULES,Welison
79,Fortaleza - CE,Thiago Galhardo,Pochettino
79,Vasco da Gama S.a.f. - RJ,Matias Galarza,Orellano
79,Vasco da Gama S.a.f. - RJ,Barros,Mateus Carvalho
79,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Eguinaldo
79,Vasco da Gama S.a.f. - RJ,Jair,Rodrigo
79,Vasco da Gama S.a.f. - RJ,Capasso,Miranda
80,Cuiabá Saf - MT,Raniele,RICARDO
80,Cuiabá Saf - MT,Wellington Silva,Iury
80,Cuiabá Saf - MT,Ronald,Pablo Ceppelini Gatto
80,Cuiabá Saf - MT,RIKELME,Patric
80,Cuiabá Saf - MT,Cafu,Nicolas
81,Fluminense - RJ,Felipe Melo,Manoel
81,Fluminense - RJ,PH GANSO,Lelê
81,Fluminense - RJ,Lima,Thiago Santos
81,Fluminense - RJ,Nino,David Braz
81,Red Bull Bragantino - SP,Helinho,Henry Mosquera
81,Red Bull Bragantino - SP,Luan Patrick,Eduardo
81,Red Bull Bragantino - SP,Matheus Fernandes,Thiago Borbas
81,Red Bull Bragantino - SP,Eric Ramires,Jadsom Silva
81,Red Bull Bragantino - SP,J. Capixaba,Guilherme
82,Vasco da Gama S.a.f. - RJ,Matias Galarza,Mateus Carvalho
82,Vasco da Gama S.a.f. - RJ,Orellano,Barros
82,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Gabriel Pec
82,Flamengo - RJ,Thiago Maia,VIDAL
82,Flamengo - RJ,Ayrton Lucas,Filipe Luís
82,Flamengo - RJ,Matheus França,Victor Hugo
82,Flamengo - RJ,De Arrascaeta,Everton
83,Palmeiras - SP,Luis Guilherme,Jhon Jhon
83,Palmeiras - SP,Artur,Bruno
83,Palmeiras - SP,Gabriel Menino,Richard Rios
83,Palmeiras - SP,Ze Rafael,Fabinho
83,Palmeiras - SP,Rony,Lopez
84,Santos - SP,Alison,Rodrigo
84,Santos - SP,Dodi,Daniel Ruiz
84,Santos - SP,Mendoza,Ângelo
84,Santos - SP,Nathan,Lucas Pires
84,Santos - SP,Deivid Washington,Bruno Mezenga
84,Internacional - RS,Luiz Adriano,Lucca
84,Internacional - RS,Vitão,Igor Gomes
84,Internacional - RS,WANDERSON,THAUAN LARA
84,Internacional - RS,Carlos de Pena,Jean Dias
84,Internacional - RS,Joao Lucas,Matheus
85,Goiás - GO,Gabriel Novaes,Philippe
85,Goiás - GO,Jackson,Apodi
85,Goiás - GO,Vinicius,Alesson
85,Goiás - GO,Zé Ricardo,Guilherme
85,Cuiabá Saf - MT,Wellington Silva,Nicolas
85,Cuiabá Saf - MT,Denilson,Ronald
85,Cuiabá Saf - MT,Deyverson,PITTA
85,Cuiabá Saf - MT,Cafu,Emerson
85,Cuiabá Saf - MT,Raniele,Allyson
86,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
86,Cruzeiro Saf - MG,Matheus,Filipe Machado
86,Cruzeiro Saf - MG,Wallisson,Daniel JR
86,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
86,Atlético Mineiro - MG,Edenilson,Patrick
86,Atlético Mineiro - MG,Paulinho,Rever
86,Atlético Mineiro - MG,Hyoran,Muricio Lemos
87,Grêmio - RS,Bitello,Diogo Barbosa
87,Grêmio - RS,Suarez,Vina
87,Grêmio - RS,Fabio,Joao Pedro
87,Grêmio - RS,Carballo,Mila
87,Grêmio - RS,Cristaldo,Galdino
87,São Paulo - SP,Wellington Rato,RODRIGUINHO
87,São Paulo - SP,Michel Araujo,Marcos Paulo
87,São Paulo - SP,Alisson,Luciano
87,São Paulo - SP,Rai,Nathan
87,São Paulo - SP,Alan Franco,David
88,Athletico Paranaense - PR,David Terans,Christian
88,Athletico Paranaense - PR,Canobbio,Romulo
88,Athletico Paranaense - PR,Vitor Roque,Thiago
88,Athletico Paranaense - PR,Alex Santana,Erick
88,Athletico Paranaense - PR,Hugo Moura,Thiago Heleno
88,Botafogo - RJ,Tche Tche,Kayque
88,Botafogo - RJ,Lucas,Janderson
88,Botafogo - RJ,Luis Henrique,Joao Victor
88,Botafogo - RJ,Di Placido,Rafael
88,Botafogo - RJ,Junior,Lucas
89,Fortaleza - CE,Pochettino,Lucero
89,Fortaleza - CE,HERCULES,Zanocelo
89,Fortaleza - CE,Romarinho,Guilherme Augusto
89,Fortaleza - CE,Calebe,Silvio Romero
89,Bahia - BA,Rezende,Diego Rosa
89,Bahia - BA,Everaldo,Mingotti
89,Bahia - BA,Ademir,Cauly
89,Bahia - BA,Vitor Hugo,Gabriel Xavier
90,America Saf - MG,Aloisio,Renato
90,America Saf - MG,Breno Lemos,Rodrigo
90,America Saf - MG,Gonzalo Mastriani,H. Almeida
90,America Saf - MG,Lucas,Ale
90,America Saf - MG,Mateus,Julio
90,Corinthians - SP,Fausto,Renato Augusto
90,Corinthians - SP,Murillo,Felipe Augusto
90,Corinthians - SP,Adson,Giuliano
90,Corinthians - SP,Yuri Alberto,Pedrinho
91,Flamengo - RJ,Everton,Bruno Henrique
91,Flamengo - RJ,Gabriel Barbosa,Pedro
91,Flamengo - RJ,De Arrascaeta,Victor Hugo
91,Flamengo - RJ,Wesley,Varela
91,Flamengo - RJ,Leo Pereira,Ayrton Lucas
91,Grêmio - RS,Kannemann,Nathan
91,Grêmio - RS,Joao Pedro,Galdino
91,Grêmio - RS,Cristaldo,Vina
92,Botafogo - RJ,Tche Tche,Lucas
92,Botafogo - RJ,Tiquinho,Matheus Nascimento
92,Botafogo - RJ,Junior,Matias Segovia
92,Botafogo - RJ,Luis Henrique,Joao Victor
92,Botafogo - RJ,Rafael,Di Placido
92,Fortaleza - CE,Calebe,Silvio Romero
92,Fortaleza - CE,HERCULES,Zanocelo
92,Fortaleza - CE,Guilherme,Yago
92,Fortaleza - CE,Pochettino,Romarinho
92,Fortaleza - CE,Caio,Welison
93,São Paulo - SP,Rafinha,Marcos Paulo
93,São Paulo - SP,Gabriel Neves,Juan
93,São Paulo - SP,Michel Araujo,RODRIGUINHO
93,São Paulo - SP,Luciano,David
93,São Paulo - SP,Alisson,Rodrigo Nestor
93,Palmeiras - SP,Kaiky,Jailson
93,Palmeiras - SP,Gabriel Menino,Richard Rios
93,Palmeiras - SP,Raphael Veiga,Fabinho
93,Palmeiras - SP,Dudu,Breno
93,Palmeiras - SP,Rony,Endrick
94,Corinthians - SP,Bruno Mendez,Fagner
94,Corinthians - SP,Fausto,Wesley
94,Corinthians - SP,Pedrinho,Yuri Alberto
94,Corinthians - SP,Renato Augusto,Adson
94,Corinthians - SP,Guilherme Biro,RUAN
94,Cuiabá Saf - MT,Denilson,Ronald
94,Cuiabá Saf - MT,Wellington Silva,Pablo Ceppelini Gatto
94,Cuiabá Saf - MT,Deyverson,PITTA
94,Cuiabá Saf - MT,Emerson,Nicolas
94,Cuiabá Saf - MT,Filipe Augusto,Victor Matheus
95,Goiás - GO,Willian Oliveira,Guilherme
95,Goiás - GO,Apodi,Edu
95,Goiás - GO,Morelli,Matheus
95,Goiás - GO,Bruno,Alesson
95,Fluminense - RJ,German Cano,Thiago Santos
95,Fluminense - RJ,Nino,David Braz
95,Fluminense - RJ,Martinelli,Keno
95,Fluminense - RJ,Gabriel Pirani,Alexandre Jesus
95,Fluminense - RJ,Lelê,John Kennedy
96,Atlético Mineiro - MG,Pavon,Edenilson
96,Atlético Mineiro - MG,Igor Gomes,Patrick
96,Atlético Mineiro - MG,Rubens,Guilherme Arana
96,Red Bull Bragantino - SP,Andres Hurtado,Gustavinho
96,Red Bull Bragantino - SP,Henry Mosquera,Sorriso
96,Red Bull Bragantino - SP,Eduardo Sasha,Alerrandro
96,Red Bull Bragantino - SP,Vitinho,Guilherme
96,Red Bull Bragantino - SP,Evangelista,Thiago Borbas
97,Internacional - RS,Gustavo,Matheus
97,Internacional - RS,Pedro,Lucas Ramos
97,Internacional - RS,Vitão,Moledo
97,Internacional - RS,WANDERSON,Jean Dias
97,Internacional - RS,Luiz Adriano,Lucca
97,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Pedro Raul
97,Vasco da Gama S.a.f. - RJ,Zé Gabriel,Erick Marcus
97,Vasco da Gama S.a.f. - RJ,Capasso,Robson
97,Vasco da Gama S.a.f. - RJ,Marlon Gomes,Figueiredo
97,Vasco da Gama S.a.f. - RJ,Rayan,Gabriel Pec
98,Santos - SP,Lucas Lima,Rodrigo
98,Santos - SP,Marcos Leonardo,Bruno Mezenga
98,Santos - SP,Nathan,Joao
98,Santos - SP,Alison,Camacho
98,Santos - SP,Yeferson Soteldo,Ângelo
99,Bahia - BA,Everaldo,Mingotti
99,Bahia - BA,Kayky Chagas,Arthur Sales
99,Bahia - BA,Vitor Hugo,Daniel
99,Bahia - BA,Thaciano,Mugni
99,Cruzeiro Saf - MG,Neto,Henrique Dourado
99,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
99,Cruzeiro Saf - MG,Gilberto,Wallisson
100,America Saf - MG,Aloisio,Wellington Paulista
100,America Saf - MG,Breno Lemos,Emmanuel Martinez
100,America Saf - MG,Everaldo,Renato
100,America Saf - MG,Felipe Azevedo,Rodrigo Varanda
100,America Saf - MG,Lucas,Rodrigo
100,Athletico Paranaense - PR,Vitor Roque,Thiago
100,Athletico Paranaense - PR,Hugo Moura,Matheus Felipe
100,Athletico Paranaense - PR,Alex Santana,Cittadini
100,Athletico Paranaense - PR,Canobbio,Cuello
100,Athletico Paranaense - PR,Christian,Willian
101,Fluminense - RJ,Guga,Felipe Andrade
101,Fluminense - RJ,Lelê,Martinelli
101,Fluminense - RJ,German Cano,John Kennedy
101,Fluminense - RJ,Keno,Gabriel Pirani
101,Atlético Mineiro - MG,Pavon,Vargas
101,Atlético Mineiro - MG,Paulinho,Patrick
101,Atlético Mineiro - MG,Zaracho,Edenilson
101,Atlético Mineiro - MG,Hyoran,Igor Gomes
102,Vasco da Gama S.a.f. - RJ,Miranda,Orellano
102,Vasco da Gama S.a.f. - RJ,Mateus Carvalho,Gabriel Pec
102,Vasco da Gama S.a.f. - RJ,Rayan,Erick Marcus
102,Vasco da Gama S.a.f. - RJ,Marlon Gomes,Pedro Raul
102,Vasco da Gama S.a.f. - RJ,Puma Rodriguez,Figueiredo
102,Goiás - GO,Zé Ricardo,Sidimar
102,Goiás - GO,Matheus Peixoto,LUCAS
102,Goiás - GO,Diego,Apodi
102,Goiás - GO,Morelli,Guilherme
102,Goiás - GO,Julian,Matheus
103,São Paulo - SP,Wellington Rato,Sebastian Mendez
103,São Paulo - SP,Diego,Alan Franco
103,São Paulo - SP,Luciano,Marcos Paulo
103,São Paulo - SP,Luan Silva,Alisson
103,São Paulo - SP,Rodrigo Nestor,RODRIGUINHO
103,Athletico Paranaense - PR,Fernando,Vinícius Kauê
103,Athletico Paranaense - PR,Alex Santana,Cittadini
103,Athletico Paranaense - PR,Vitor Roque,Marcelo Cirino
103,Athletico Paranaense - PR,Vitor Bueno,Willian
103,Athletico Paranaense - PR,Cuello,David Terans
104,Santos - SP,Dodi,Deivid Washington
104,Santos - SP,Rodrigo,Sandry
104,Santos - SP,Gabriel,Lucas Pires
104,Santos - SP,Lucas Lima,Luan
104,Santos - SP,Yeferson Soteldo,Ângelo
104,Corinthians - SP,Guilherme Biro,Adson
104,Corinthians - SP,Matheus Bidu,Fabio Santos
104,Corinthians - SP,Maycon,Giuliano
104,Corinthians - SP,RUAN,Matheus Araujo
105,Red Bull Bragantino - SP,Evangelista,Gustavinho
105,Red Bull Bragantino - SP,Vitinho,Sorriso
105,Red Bull Bragantino - SP,Eduardo Sasha,Alerrandro
105,Red Bull Bragantino - SP,Eric Ramires,Praxedes
105,Red Bull Bragantino - SP,Jadsom Silva,Aderlan
105,Flamengo - RJ,De Arrascaeta,Victor Hugo
105,Flamengo - RJ,Éverton Ribeiro,Erick Pulgar
105,Flamengo - RJ,Everton,Andre
105,Flamengo - RJ,Leo Pereira,Ayrton Lucas
105,Flamengo - RJ,Pedro,Bruno Henrique
106,Cruzeiro Saf - MG,Luciano Castan,Stênio
106,Cruzeiro Saf - MG,William,Igor Marques Paciencia Cardoso
106,Cruzeiro Saf - MG,Neto,Daniel JR
106,Cruzeiro Saf - MG,Filipe Machado,Wallisson
106,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
106,Fortaleza - CE,Welison,HERCULES
106,Fortaleza - CE,Pochettino,Calebe
106,Fortaleza - CE,Guilherme Augusto,Lucero
107,Grêmio - RS,Joao Pedro,Nata
107,Grêmio - RS,Cristaldo,Nathan
107,Grêmio - RS,Cuiabano,Nathan
107,Grêmio - RS,Suarez,Andre
107,Grêmio - RS,Mila,Vina
107,America Saf - MG,Everaldo,Wanderson
107,America Saf - MG,Marcinho,Mateus
107,America Saf - MG,Breno Lemos,Ale
107,America Saf - MG,Aloisio,Renato
107,America Saf - MG,Danilo,Marlon
108,Internacional - RS,Joao Lucas,Matheus
108,Internacional - RS,Luiz Adriano,Lucca
108,Internacional - RS,Pedro,THAUAN LARA
108,Internacional - RS,Gustavo,Jean Dias
109,Bahia - BA,Kayky Chagas,Daniel
109,Bahia - BA,Vitor Hugo,Gabriel Xavier
109,Bahia - BA,Mingotti,Everaldo
109,Palmeiras - SP,Gabriel Menino,Richard Rios
109,Palmeiras - SP,Bruno,Luis Guilherme
109,Palmeiras - SP,Endrick,Lopez
109,Palmeiras - SP,Dudu,Breno
109,Palmeiras - SP,Artur,Giovani
110,Cuiabá Saf - MT,Fernando,Filipe Augusto
110,Cuiabá Saf - MT,Denilson,Pablo Ceppelini Gatto
110,Cuiabá Saf - MT,Raniele,Ronald
110,Cuiabá Saf - MT,Wellington Silva,Iury
110,Cuiabá Saf - MT,Cafu,Nicolas
110,Botafogo - RJ,Joao Victor,Luis Henrique
110,Botafogo - RJ,Junior,Matias Segovia
110,Botafogo - RJ,Adryelson,Philipe
110,Botafogo - RJ,Danilo,Gustavo
110,Botafogo - RJ,Tiquinho,Matheus Nascimento
111,Fluminense - RJ,Lelê,German Cano
111,Fluminense - RJ,Marcelo,Felipe Andrade
111,Fluminense - RJ,Keno,PH GANSO
111,Fluminense - RJ,Gabriel Pirani,Guga
111,Bahia - BA,Cicinho,André Dhominique
111,Bahia - BA,Rezende,Daniel
111,Bahia - BA,Kayky Chagas,Arthur Sales
111,Bahia - BA,Danilo Fernandes,Mateus Claus
112,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Eguinaldo
112,Vasco da Gama S.a.f. - RJ,Rayan,Erick Marcus
112,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Paulo Henrique
112,Vasco da Gama S.a.f. - RJ,Marlon Gomes,Matias Galarza
112,Vasco da Gama S.a.f. - RJ,Figueiredo,Zé Gabriel
112,Cuiabá Saf - MT,Fernando,Pablo Ceppelini Gatto
112,Cuiabá Saf - MT,Wellington Silva,Nicolas
112,Cuiabá Saf - MT,Cafu,PITTA
112,Cuiabá Saf - MT,RIKELME,Patric
112,Cuiabá Saf - MT,Filipe Augusto,Ronald
113,Palmeiras - SP,Mayke,Endrick
113,Palmeiras - SP,Raphael Veiga,Jhon Jhon
113,Palmeiras - SP,Dudu,Bruno
113,Palmeiras - SP,Artur,Luis Guilherme
113,Palmeiras - SP,Richard Rios,Lopez
113,Botafogo - RJ,Tiquinho,Matheus Nascimento
113,Botafogo - RJ,Tche Tche,Danilo
113,Botafogo - RJ,Joao Victor,Luis Henrique
113,Botafogo - RJ,Junior,Matias Segovia
113,Botafogo - RJ,Rafael,Di Placido
114,Santos - SP,Lucas Lima,Luan
114,Santos - SP,Rodrigo,Sandry
114,Santos - SP,Yeferson Soteldo,Ângelo
114,Santos - SP,Dodi,Bruno Mezenga
114,Santos - SP,Mendoza,Lucas
114,Flamengo - RJ,Everton,Bruno Henrique
114,Flamengo - RJ,Victor Hugo,Thiago Maia
114,Flamengo - RJ,Ayrton Lucas,Filipe Luís
114,Flamengo - RJ,Gabriel Barbosa,Pedro
114,Flamengo - RJ,Éverton Ribeiro,De Arrascaeta
115,Red Bull Bragantino - SP,Matheus Fernandes,Nathan Camargo
115,Red Bull Bragantino - SP,J. Capixaba,Guilherme
115,Red Bull Bragantino - SP,Eric Ramires,Gustavinho
115,Red Bull Bragantino - SP,Eduardo Sasha,Thiago Borbas
115,Red Bull Bragantino - SP,Jadsom Silva,Aderlan
115,Goiás - GO,Morelli,Vinicius
115,Goiás - GO,Magno Jose,Bruno
115,Goiás - GO,Matheus Peixoto,LUCAS
115,Goiás - GO,Julian,Alesson
115,Goiás - GO,Apodi,Matheus
116,Cruzeiro Saf - MG,Reynaldo,Neris
116,Cruzeiro Saf - MG,Filipe Machado,Ian
116,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Stênio
116,Cruzeiro Saf - MG,Mateus,Neto
116,Cruzeiro Saf - MG,Gilberto,Henrique Dourado
116,São Paulo - SP,Caio Paulista,Marcos Paulo
116,São Paulo - SP,Sebastian Mendez,David
116,São Paulo - SP,Rodrigo Nestor,RODRIGUINHO
116,São Paulo - SP,Alisson,Luciano
116,São Paulo - SP,Wellington Rato,Juan
117,Grêmio - RS,Joao Pedro,Lian
117,Grêmio - RS,Suarez,Andre
117,Grêmio - RS,Reinaldo,Cuiabano
117,Grêmio - RS,Cristaldo,Nathan
117,Grêmio - RS,Vina,Bruno Alves
118,Athletico Paranaense - PR,Khellven,Madson
118,Athletico Paranaense - PR,Vitor Bueno,Cuello
118,Athletico Paranaense - PR,Vitor Roque,Luciano Arriagada
118,Athletico Paranaense - PR,Fernandinho,Hugo Moura
118,Athletico Paranaense - PR,Canobbio,David Terans
118,Corinthians - SP,Bruno Mendez,Wesley
118,Corinthians - SP,Matheus Bidu,Fabio Santos
118,Corinthians - SP,Roni,Giuliano
118,Corinthians - SP,Guilherme Biro,Pedrinho
118,Corinthians - SP,RUAN,Matheus Araujo
119,Fortaleza - CE,Pochettino,Calebe
119,Fortaleza - CE,Lucero,Lucas Crispim
119,Fortaleza - CE,HERCULES,Lucas
119,Fortaleza - CE,Thiago Galhardo,Guilherme Augusto
119,Atlético Mineiro - MG,Bruno Fuchs,Igor
119,Atlético Mineiro - MG,Pavon,Vargas
119,Atlético Mineiro - MG,Hulk,Alan Kardec
119,Atlético Mineiro - MG,Zaracho,Igor Gomes
119,Atlético Mineiro - MG,Hyoran,Edenilson
120,America Saf - MG,Aloisio,Wellington Paulista
120,America Saf - MG,Everaldo,Emmanuel Martinez
120,America Saf - MG,Lucas,Ale
120,America Saf - MG,Felipe Azevedo,Rodrigo Varanda
120,America Saf - MG,Breno Lemos,Martin Benitez
120,Internacional - RS,Pedro,Alexandre
120,Internacional - RS,Jean Dias,Gabriel Barros
120,Internacional - RS,Luiz Adriano,Gustavo
120,Internacional - RS,WANDERSON,THAUAN LARA
121,Flamengo - RJ,Éverton Ribeiro,Bruno Henrique
121,Flamengo - RJ,Leo Pereira,David Luiz
121,Flamengo - RJ,Thiago Maia,Filipe Luís
121,Flamengo - RJ,Gabriel Barbosa,Pedro
121,Flamengo - RJ,De Arrascaeta,Victor Hugo
121,Fortaleza - CE,Welison,HERCULES
121,Fortaleza - CE,Guilherme,Dudu
121,Fortaleza - CE,Pochettino,Lucas Crispim
121,Fortaleza - CE,Yago,Calebe
122,Botafogo - RJ,Tiquinho,Carlos Alberto
122,Botafogo - RJ,Rafael,Di Placido
122,Botafogo - RJ,Tche Tche,Danilo
122,Botafogo - RJ,Carlos,Kayque
122,Botafogo - RJ,Luis Henrique,Matias Segovia
122,Vasco da Gama S.a.f. - RJ,Robson,Capasso
122,Vasco da Gama S.a.f. - RJ,Zé Gabriel,Eguinaldo
122,Vasco da Gama S.a.f. - RJ,Figueiredo,Erick Marcus
122,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Rayan
122,Vasco da Gama S.a.f. - RJ,Orellano,Carabajal
123,São Paulo - SP,Gabriel Neves,Alisson
123,São Paulo - SP,Rodrigo Nestor,Marcos Paulo
123,São Paulo - SP,RODRIGUINHO,Wellington Rato
123,São Paulo - SP,Juan,David
123,São Paulo - SP,Luciano,Nathan
