Clube,Camisa,Apelido
Botafogo - RJ,12,Lucas Perri
Botafogo - RJ,2,Rafael
Botafogo - RJ,18,Lucas
Botafogo - RJ,6,Tche Tche
Botafogo - RJ,9,Tiquinho
Botafogo - RJ,34,Adryelson
Botafogo - RJ,94,Philipe
Botafogo - RJ,33,Carlos
Botafogo - RJ,5,Danilo
Botafogo - RJ,17,Marlon Freitas
Botafogo - RJ,37,Junior
Botafogo - RJ,19,Matias Segovia
Botafogo - RJ,7,Joao Victor
Botafogo - RJ,11,Luis Henrique
Botafogo - RJ,24,Di Placido
Botafogo - RJ,15,Victor Cuesta
Botafogo - RJ,22,Douglas
Botafogo - RJ,10,Gustavo
Botafogo - RJ,39,Janderson
Botafogo - RJ,75,RAI
Botafogo - RJ,4,Luis Segovia
Botafogo - RJ,31,João Fernando
Botafogo - RJ,20,Daniel Borges
Botafogo - RJ,12,Lucas Perri
Botafogo - RJ,34,Adryelson
Botafogo - RJ,33,Carlos
Botafogo - RJ,5,Danilo
Botafogo - RJ,6,Tche Tche
Botafogo - RJ,18,Lucas
Botafogo - RJ,9,Tiquinho
Botafogo - RJ,10,Gustavo
Botafogo - RJ,11,Luis Henrique
Botafogo - RJ,37,Junior
Botafogo - RJ,19,Matias Segovia
Botafogo - RJ,24,Di Placido
Botafogo - RJ,4,Luis Segovia
Botafogo - RJ,2,Rafael
Botafogo - RJ,20,Daniel Borges
Botafogo - RJ,15,Victor Cuesta
São Paulo - SP,23,Rafael
São Paulo - SP,27,Wellington Rato
São Paulo - SP,20,Gabriel Neves
São Paulo - SP,38,Caio Paulista
São Paulo - SP,28,Alan Franco
São Paulo - SP,13,Rafinha
São Paulo - SP,5,Arboleda
São Paulo - SP,21,Sebastian Mendez
São Paulo - SP,29,Pablo
São Paulo - SP,15,Michel Araujo
São Paulo - SP,11,Rodrigo Nestor
São Paulo - SP,7,Alisson
São Paulo - SP,10,Luciano
São Paulo - SP,22,David
São Paulo - SP,9,Calleri
Botafogo - RJ,22,Douglas
Botafogo - RJ,14,Gabriel
Botafogo - RJ,39,Janderson
Botafogo - RJ,17,Marlon Freitas
Botafogo - RJ,94,Philipe
Botafogo - RJ,75,RAI
Botafogo - RJ,52,Igo Gabriel
São Paulo - SP,1,Felipe
São Paulo - SP,35,Beraldo
São Paulo - SP,31,Juan
São Paulo - SP,34,Rai
São Paulo - SP,45,Nathan
São Paulo - SP,36,Patryck
São Paulo - SP,93,Jandrei
Corinthians - SP,12,Cássio
Corinthians - SP,77,Chrystian
Corinthians - SP,28,Adson
Corinthians - SP,23,Fagner
Corinthians - SP,21,Matheus Bidu
Corinthians - SP,6,Fabio Santos
Corinthians - SP,9,Yuri Alberto
Corinthians - SP,5,Fausto
Corinthians - SP,37,Eduardo Santos Queiroz
Corinthians - SP,20,Giuliano
Corinthians - SP,30,Matheus Araujo
Corinthians - SP,4,Gil
Corinthians - SP,10,Roger Guedes
Corinthians - SP,29,Roni
Corinthians - SP,24,Cantillo
Corinthians - SP,25,Bruno Mendez
Cruzeiro Saf - MG,1,Rafael Cabral
Cruzeiro Saf - MG,4,Luciano Castan
Cruzeiro Saf - MG,3,Marlon
Cruzeiro Saf - MG,7,Mateus
Cruzeiro Saf - MG,31,Bilu
Cruzeiro Saf - MG,9,Bruno Rodrigues
Cruzeiro Saf - MG,11,Wesley Ribeiro Silva
Cruzeiro Saf - MG,10,Nikao
Cruzeiro Saf - MG,21,Gilberto
Cruzeiro Saf - MG,12,William
Cruzeiro Saf - MG,17,Ramiro
Cruzeiro Saf - MG,23,Filipe Machado
Cruzeiro Saf - MG,25,Richard
Cruzeiro Saf - MG,26,Lucas Oliveira
Corinthians - SP,22,Carlos
Corinthians - SP,7,Maycon
Corinthians - SP,34,Murillo
Corinthians - SP,15,Paulinho
Corinthians - SP,27,Pedrinho
Corinthians - SP,11,Angel Romero
Corinthians - SP,31,Balbuena
Cruzeiro Saf - MG,98,Anderson Paixão
Cruzeiro Saf - MG,8,Neto
Cruzeiro Saf - MG,5,Wallisson
Cruzeiro Saf - MG,27,Neris
