Clube,Nome,Apelido,Camisa
Santos - SP,Bruno Ferreira Mombra Rosa,Bruno Mezenga,88
Coritiba S.a.f. - PR,Bruno Gomes da Silva Clevelario,Bruno Gomes,0
Red Bull Bragantino - SP,Bruno Gonçalves de Jesus,Bruninho,17
Fortaleza - CE,Bruno Guimarães de Souza,Bruno,0
Internacional - RS,Bruno Henrique Corsini,Bruno,0
Flamengo - RJ,Bruno Henrique Pinto,Bruno Henrique,27
Corinthians - SP,Bruno Mendez Cittadini,Bruno Mendez,25
Cruzeiro Saf - MG,Bruno Rafael Rodrigues do Nascimento,Bruno Rodrigues,9
Grêmio - RS,Bruno Uvini Bortolanca,Uvini,15
,Bruno Viana Willemen da Silva,Bruno Viana,0
,Bruno Vinicius Souza Ramos,Bruno,0
Athletico Paranaense - PR,Bruno Zapelli,Zapelli,0
,Bryan Jahir Garcia Realpe,Bryan Garcia,0
Fortaleza - CE,Caio Alexandre Sousa E Silva,Caio,8
Atlético Mineiro - MG,Caio da Silva Maia,Caio Maia,0
Fortaleza - CE,Caio Dantas Batista de Maria,Caio Dantas,0
São Paulo - SP,Caio Fernando de Oliveira,Caio Paulista,38
Atlético Mineiro - MG,Caio Henrique Ribas Dias de Araujo,CAIO RIBAS,0
São Paulo - SP,Caio Matheus da Silva,CAIO,0
Fluminense - RJ,Caio Vinicius da Conceicao,Caio Vinicius,0
Flamengo - RJ,Caio Vinicius Garcia Guilhen,Caio,0
Grêmio - RS,Caique Luiz Santos da Purificacao,Caique,0
Fortaleza - CE,Calebe Gonçalves Ferreira da Silva,Calebe,27
Cuiabá Saf - MT,Calebe Oliveira Costa,CALEBE,0
Bahia - BA,Camilo Damian Candido Aquino,Camilo Cándido,0
Botafogo - RJ,Carlos Alberto Gomes da Silva Filho,Carlos Alberto,0
Cruzeiro Saf - MG,Carlos Daniel Gomez Ccasani,Carlos Gomez,0
Athletico Paranaense - PR,Carlos de Menezes Junior,Cacá,0
