Clube,Nome,Apelido,Camisa
Fluminense - RJ,Isaque Severino Silva,Isaque,0
Cuiabá Saf - MT,Isidro Miguel Pitta Saldivar,PITTA,9
Coritiba S.a.f. - PR,Islam Slimani,Slimani,0
Cruzeiro Saf - MG,Italo Isaac Pereira Lourenco,Italo,0
Cuiabá Saf - MT,Itaro Patric Cardoso Calmon,Patric,94
Vitória - BA,Iury Lirio Freitas de Castilho,Iury,0
Vasco da Gama S.a.f. - RJ,Ivan Quaresma da Silva,Ivan,97
Botafogo - SP,Ivonei Junior da Silva Rabelo,Ivonei,0
Goiás - GO,Jackson Diego Ibraim Fagundes,Jackson,20
Botafogo - RJ,Jacob Christian Montes,Jacob,0
Red Bull Bragantino - SP,Jadsom Meemyas de Oliveira da Silva,Jadsom Silva,5
Atlético Mineiro - MG,Jadson Alves de Lima,Jadson,0
Palmeiras - SP,Jailson Marques Siqueira,Jailson,0
Santos - SP,Jair Paula da Cunha Filho,Jair Paula,0
Vasco da Gama S.a.f. - RJ,Jair Rodrigues Junior,Jair,8
Coritiba S.a.f. - PR,Jamerson Santos de Jesus,Jamerson,0
São Paulo - SP,James David Rodriguez Rubio,James Rodriguez,0
Botafogo - RJ,Janderson de Carvalho Costa,Janderson,39
São Paulo - SP,Jandrei Chitolina Carniel,Jandrei,93
Flamengo - RJ,Jean Carlos da Silva Lima,Jean Carlos,0
Internacional - RS,Jean Dias da Costa,Jean Dias,38
Coritiba S.a.f. - PR,Jean Gabriel Silveira,Jean Gabriel,0
Coritiba S.a.f. - PR,Jean Henrique Carneiro Pedroso,Jean,0
Santos - SP,Jean Lucas de Souza Oliveira,Jean,0
Vasco da Gama S.a.f. - RJ,Jefferson Junio Antonio da Silva,Jefferson Junio,0
Botafogo - RJ,Jefferson Maciel Bento,JEFFERSON,0
Atlético Mineiro - MG,Jemerson de Jesus Nascimento,Jemerson,34
Coritiba S.a.f. - PR,Jesé Rodriguez Ruiz,Jesé Rodriguez,0
São Paulo - SP,Jhegson Sebastian Mendez Carabali,Sebastian Mendez,21
,Jhoanner Stalin Chavez Quintero,Chavez,0
Fluminense - RJ,Jhon Adolfo Arias Andrade,Jhon Arias,21
Grêmio - RS,Jhonata Robert Alves da Silva,Jhonata Robert,0
Palmeiras - SP,Jhonatan dos Santos Rosa,Jhon Jhon,40
Internacional - RS,Jhonatan Kauan Eleoterio Diogo,JHONATAN,0
Red Bull Bragantino - SP,Jhonny Cardinoti Pedro,Jhonny,0
Vitória - BA,Jhonny Lucas Flora Barboza,Jhonny,0
Cruzeiro Saf - MG,Jhosefer Raphael Januario,Jhosefer,0
Fluminense - RJ,João Batista da Cruz Santos Neto,João Neto,0
Cuiabá Saf - MT,Joao Carlos Heidemann,Joao Carlos,21
Red Bull Bragantino - SP,João Douglas de Sousa Silva,João Douglas,0
Botafogo - RJ,João Fernando Monteiro Siqueira,João Fernando,31
Fluminense - RJ,João Henrique Mendes da Silva,João Henrique (Esquerdinha),0
Santos - SP,Joao Lucas de Almeida Carvalho,Joao,0
Internacional - RS,Joao Lucas de Souza Cardoso,Joao Lucas,30
Red Bull Bragantino - SP,João Luiz da Silva Cipriano,Cipriano,0
Cruzeiro Saf - MG,Joao Marcelo Messias Ferreira,Joao Marcelo,0
Flamengo - RJ,Joao Marcos Garcia da Costa,Joao Marcos,0
São Paulo - SP,João Moreira Sanmartin Souza,João Moreira,0
Santos - SP,Joao Othavio Basso,Joao,0
Internacional - RS,Joao Paulo Dalla Corte,Dalla Corte,0
,Joao Paulo de Souza Mares,Bitello,0
Santos - SP,Joao Paulo Silva Martins,Joao Paulo,34
Cruzeiro Saf - MG,João Pedro da Cruz Oliveira,João Pedro Oliveira,0
Corinthians - SP,Joao Pedro de Sousa Rodrigues,Joao Pedro,0
Internacional - RS,Joao Pedro Dias de Oliveira,Joao Pedro,0
Botafogo - RJ,João Pedro Galvão de Carvalho,JP Galvão,0
Grêmio - RS,Joao Pedro Geraldino dos Santos Galvao,Joao Pedro,18
Grêmio - RS,Joao Pedro Maturano dos Santos,Joao Pedro,18
Vasco da Gama S.a.f. - RJ,João Pedro Murilo de Paula Morais,João Pedro,0
São Paulo - SP,João Pedro Pantiga Gomes,João Pedro,0
Grêmio - RS,Joao Pedro Ramos Oliveira Lima,Joao Ramos,0
Grêmio - RS,Joao Pedro Vilardi Pinto,Pepe,0
Atlético Mineiro - MG,Joao Rafael Macedo Pereira,Joao Rafael,0
Fortaleza - CE,Joao Ricardo Riedi,João Ricardo,0
Goiás - GO,Joao Victo Magno de Souza Machado,Joao,0
Corinthians - SP,Joao Victor Andrade Caetano,Caetano,0
Botafogo - SP,João Victor Araújo Maraninir,JOÃO,0
Bahia - BA,João Victor Broad Moreira Guimaraes,Jota,0
Santos - SP,Joao Victor de Amorim Marinho,Balao,0
Athletico Paranaense - PR,João Victor Machado Cruz,João Cruz,0
Botafogo - RJ,Joao Victor Santos Sa,Joao Victor,7
Grêmio - RS,Joao Vitor Araujo da Silva,Joao Vitor,0
Cuiabá Saf - MT,Joao Vitor Balbino Cordeiro,Joao Vitor Balbino Cordeiro,0
Coritiba S.a.f. - PR,Joao Vitor da Silva Almeida,João Vitor,0
Athletico Paranaense - PR,Joao Vitor Tavares da Mota,Joao Vitor,0
Red Bull Bragantino - SP,Joao Vitor Vallony da Silva,Da Silva,0
Cruzeiro Saf - MG,Joao Wellington Gadelha Melo de Oliveira,JAPA,0
Santos - SP,Joaquim Henrique Pereira Silva,Joaquim,28
Palmeiras - SP,Joaquin Piquerez Moreira,Joaquin Piquerez,22
Fluminense - RJ,John Kennedy Batista de Souza,John Kennedy,9
Santos - SP,John Steven Mendoza Valencia,Mendoza,0
,John Victor Maciel Furtado,John,0
America Saf - MG,Jonathan Alecxander da Silva Valerio,Jonathan Alecxander,0
São Paulo - SP,Jonathan Calleri,Calleri,9
Cuiabá Saf - MT,Jonathan Renato Barbosa,Cafu,7
Coritiba S.a.f. - PR,Jorge Vinicius Ribeiro da Silva,Jorge Vinicius,0
America Saf - MG,Joriwinnyson Santos dos Anjos Rodrigues,Joriwinnyson,0
Red Bull Bragantino - SP,Jose Andres Hurtado Cheme,Andres Hurtado,34
Botafogo - RJ,Jose Antonio dos Santos Junior,Junior,37
Vasco da Gama S.a.f. - RJ,Jose Gabriel dos Santos Silva,Zé Gabriel,0
Grêmio - RS,Jose Guilherme de Lima Costa,José Guilherme,46
Chapecoense - SC,Jose Henrique da Silva Dourado,Henrique Dourado,0
,Jose Ivaldo Almeida Silva,Ze Ivaldo,0
Vasco da Gama S.a.f. - RJ,Jose Luis Rodriguez Bebanz,Puma Rodriguez,2
Palmeiras - SP,Jose Manuel Alberto Lopez,Lopez,18
Corinthians - SP,Jose Paulo Bezerra Maciel Junior,Paulinho,15
Palmeiras - SP,Jose Rafael Vivian,Ze Rafael,8
Tombense - MG,Jose Ricardo Araujo Fernandes,Zé Ricardo,0
Cuiabá Saf - MT,Jose Ricardo Batista Cerqueira,RICARDO,0
Santos - SP,Jose Rodolfo Pires Ribeiro,Dodo,0
Fortaleza - CE,Jose Romario Silva de Souza,Romarinho,11
Vasco da Gama S.a.f. - RJ,Jose Vitor Geminiano Cavalieri,Zé Vitor,0
Flamengo - RJ,Jose Welinton Campos Menezes,Zé Welinton,39
Fortaleza - CE,José Welison da Silva,Welison,17
Grêmio - RS,Josue Souza dos Santos,Josue,0
Vila Nova - GO,Juan Christian Pereira Coelho,Juan Christian,0
Grêmio - RS,Juan Manuel Iturbe Arevalos,Iturbe,0
Fortaleza - CE,Juan Martin Lucero,Lucero,9
Cuiabá Saf - MT,Juan Pablo Vilela Tavares,Juan Tavares,0
America Saf - MG,Juan Ramon Cazares Sevillano,Cazares,0
São Paulo - SP,Juan Santos da Silva,Juan,31
Goiás - GO,Julian Eduardo Palacios,Julian,10
Mirassol - SP,Julimar Silva Oliveira Junior,Julimar,0
America Saf - MG,Julio Cesar Alves Gonçalves,Julio,0
Bahia - BA,Julio Cesar de Rezende Miranda,Rezende,0
Santos - SP,Julio Cesar Furch,Julio Furch,0
Fluminense - RJ,Julio Cesar Lima Fidelis,Julio Fidelis,0
Cruzeiro Saf - MG,Kaiki Bruno da Silva,Kaiki Bruno,16
Palmeiras - SP,Kaiky Marques Naves,Kaiky,34
Coritiba S.a.f. - PR,Kaio Cesar Andrade Lima,Kaio Lima,0
Palmeiras - SP,Kaique Pereira Azarias,Kaique,51
Athletico Paranaense - PR,Kaique Rocha Lima,Kaique,0
America Saf - MG,Kaua Diniz Rocha,kaua,0
Fluminense - RJ,Kauã Elias Nogueira,Kauã Elias,0
Internacional - RS,Kauan Jesus Santos Oliveira,Kauan,0
Red Bull Bragantino - SP,Kauan Martins Chagas,Kauan,0
Fortaleza - CE,Kauan Rodrigues da Silva,Kauan,0
Palmeiras - SP,Kauan Santos Silva,Kauan Santos,0
Atlético Mineiro - MG,Kauan Silva Sales,KAUAN,0
Botafogo - RJ,Kauê Rodrigues Pessanha,Kauê,0
Corinthians - SP,Kauê Vinicius de Souza Camargo,KAUÊ C.,0
Red Bull Bragantino - SP,Kawe Ferreira Godoy Viana,Kawe,0
Corinthians - SP,Kayke Ferrari Guimaraes,Kayke,0
Botafogo - RJ,Kayke Gouvêa Queiroz,KAYKE,0
,Kayky da Silva Chagas,Kayky Chagas,0
Fluminense - RJ,Kayky Henrique Almeida Brandão da Silva,Kayky Almeida,0
,Kayque Luiz Pereira,Kayque,0
Atlético Mineiro - MG,Kayque Ryann Santos Silva,KAYQUE,0
Internacional - RS,Keiller da Silva Nunes,Keiller,1
Bahia - BA,Kennedy Anderson Gomes Ferreira,Kennedy,0
Fortaleza - CE,Kervin Mario Andrade Navarro,Kervin,0
,Kevin Joel Lomonaco,Kevin,0
Palmeiras - SP,Kevin Santos Lopes de Macedo,Kevin,0
Fluminense - RJ,Kevyn Vinicius Medeiros de Freitas,Kevyn,0
Santos - SP,Kevyson Costa E Silva,Kevyson,0
,Khellven Douglas Silva Oliveira,Khellven,0
Fluminense - RJ,Leanderson da Silva Genesio,Lelê,99
America Saf - MG,Leandro Emmanuel Martinez,Emmanuel Martinez,5
Athletico Paranaense - PR,Leandro Filipe de Almeida Dornelles,Filipe,0
Atlético Mineiro - MG,Leandro Josue Rodriguez Santaella,Leandro,0
São Paulo - SP,Leandro Mathias Silva Bueno,Leandro,0
Vasco da Gama S.a.f. - RJ,Leandro Viana da Silva Gama,Leandro Viana,0
Athletico Paranaense - PR,Leonardo Ataide de Oliveira Siqueira,Ataide,0
Cuiabá Saf - MT,Leonardo Augusto de Oliveira,Leo Oliveira,0
Fluminense - RJ,Leonardo Cecilio Fernandez Lopez,Leo Fernandez,0
Vasco da Gama S.a.f. - RJ,Leonardo Cesar Jardim,Leo Jardim,1
Bahia - BA,Leonardo Cittadini,Cittadini,0
Palmeiras - SP,Leonardo de Azevedo Silva,Leonardo,0
Fluminense - RJ,Leonardo de Oliveira Jance,Leonardo,0
Athletico Paranaense - PR,Leonardo Derik Dias Goncalves,Leonardo Derik,0
Atlético Mineiro - MG,Leonardo dos Santos Lopes da Silva,Leonardo Santos,0
Athletico Paranaense - PR,Leonardo Estigarribia Ferreira,Dourado,0
Vasco da Gama S.a.f. - RJ,Leonardo Gomes da Silva Jaco,Leonardo,0
Red Bull Bragantino - SP,Leonardo Javier Realpe Montaño,Léo Realpe,2
Corinthians - SP,Leonardo Mana Hernandes,Léo Mana,0
Athletico Paranaense - PR,Leonardo Matias Baiersdorf Linck,Leo Linck,23
Flamengo - RJ,Leonardo Pereira,Leo Pereira,4
Vasco da Gama S.a.f. - RJ,Leonardo Pinheiro da Conceicao,Léo,3
Red Bull Bragantino - SP,Leonardo Rech Ortiz,Léo Ortiz,0
Botafogo - RJ,Leonel Di Placido,Di Placido,24
Grêmio - RS,Lian dos Santos da Silva,Lian,0
Flamengo - RJ,Lorran Lucas Pereira de Sousa,Lorran,0
Red Bull Bragantino - SP,Luan Candido de Almeida,Luan Candido,0
,Luan de Campos Cristino da Silva,LUAN,0
Londrina - PR,Luan de Freitas Molarinho Chagas,Luan Freitas,0
Santos - SP,Luan Dias da Silva,Luan,97
Palmeiras - SP,Luan Garcia Teixeira,Luan Garcia,13
Grêmio - RS,Luan Guilherme de Jesus Vieira,Luan,0
Internacional - RS,Luan Jesus Mendes de Lima,Luan,0
Red Bull Bragantino - SP,Luan Patrick Wiedthauper,Luan Patrick,30
Coritiba S.a.f. - PR,Luan Polli Gomes,Luan Polli,0
São Paulo - SP,Luan Vinicius da Silva Santos,Luan Silva,8
Vasco da Gama S.a.f. - RJ,Luca Nicolas Orellano,Orellano,14
Grêmio - RS,Lucas Agustin Besozzi,Besozzi,0
Red Bull Bragantino - SP,Lucas Alexandre Galdino de Azevedo,Lucão,40
Bahia - BA,Lucas Andres Mugni,Mugni,0
Athletico Paranaense - PR,Lucas Angel Esquivel,Lucas Esquivel,0
Athletico Paranaense - PR,Lucas Belezi Barbosa,Lucas Belezi,0
Santos - SP,Lucas Braga Ribeiro,Lucas,21
Botafogo - SP,Lucas Cardoso Moreira,Lucas Cardoso,0
Cruzeiro Saf - MG,Lucas da Cruz Oliveira,Lucas Oliveira,26
Cruzeiro Saf - MG,Lucas da Cruz Oliveira,Lucas Oliveira,6
Cuiabá Saf - MT,Lucas da Silva Izidoro,Lucas,0
Fluminense - RJ,Lucas da Silva Justen,Justen,0
Fortaleza - CE,Lucas de Figueiredo Crispim,Lucas Crispim,10
Internacional - RS,Lucas de Ramos Silveira,Lucas Ramos,15
Red Bull Bragantino - SP,Lucas de Souza Cunha,Lucas Cunha,0
,Lucas Domingues Piazon,Lucas,0
Vasco da Gama S.a.f. - RJ,Lucas Eduardo de Souza Oliveira,Lucas Eduardo,0
Grêmio - RS,Lucas Eduardo Muller,Mila,45
Goiás - GO,Lucas Eduardo Ribeiro de Souza,Edu,43
Aparecida Esporte Clube - GO,Lucas Emmanuel Araujo Macedo,LUCAS,0
Botafogo - RJ,Lucas Estella Perri,Lucas Perri,12
Atlético - GO,Lucas Esteves Souza,Lucas Esteves,0
Red Bull Bragantino - SP,Lucas Evangelista Santana de Oliveira,Evangelista,8
Botafogo - RJ,Lucas Fernandes da Silva,Lucas,18
Vasco da Gama S.a.f. - RJ,Lucas Figueiredo dos Santos,Figueiredo,15
Botafogo - RJ,Lucas Fonseca Gomes Barreto,Lucas,18
Goiás - GO,Lucas Halter,Halter,3
Coritiba S.a.f. - PR,Lucas Henrique Barbosa,Lucas,0
America Saf - MG,Lucas Kal Schenfeld Prigioli,Lucas,21
São Paulo - SP,Lucas Lopes Beraldo,Beraldo,35
Bahia - BA,Lucas Mazdiel Aruba Santos,Aruba,0
Fortaleza - CE,Lucas Pacheco Affini,Lucas,88
,Lucas Pires Silva,Lucas Pires,0
Vasco da Gama S.a.f. - RJ,Lucas Piton Crivellaro,Lucas Piton,36
Vasco da Gama S.a.f. - RJ,Lucas Piton Crivellaro,Lucas Piton,6
Santos - SP,Lucas Rafael Araujo Lima,Lucas Lima,23
Red Bull Bragantino - SP,Lucas Rafael Gonçalves da Silva,Lucas Rafael,0
São Paulo - SP,Lucas Rodrigues Moura da Silva,Lucas,0
Coritiba S.a.f. - PR,Lucas Ronier Vieira Pires,LUCAS RONIER,0
Cruzeiro Saf - MG,Lucas Silva Borges,Lucas Silva,0
Corinthians - SP,Lucas Verissimo da Silva,Lucas Verissimo,0
Internacional - RS,Lucca Holanda Sampaio Tavares,Lucca,45
Athletico Paranaense - PR,Lucca Prior Pimenta,Lucca,0
Bahia - BA,Luciano Batista da Silva Junior,Luciano Juba,0
Cruzeiro Saf - MG,Luciano Castan da Silva,Luciano Castan,4
São Paulo - SP,Luciano da Rocha Neves,Luciano,10
Athletico Paranaense - PR,Luciano Daniel Arriagada Garcia,Luciano Arriagada,0
Palmeiras - SP,Luighi Hanri Sousa Santos,Luighi,0
Grêmio - RS,Luis Alberto Suarez Diaz,Suarez,9
Red Bull Bragantino - SP,Luis Antonio da Rocha Junior,J. Capixaba,29
Sport - PE,Luis Antonio Ferreira Rodrigues,Luis,0
Fortaleza - CE,Luis Eduardo Marques dos Santos,Dudu,0
Grêmio - RS,Luis Eduardo Soares da Silva,Cuiabano,0
Goiás - GO,Luis Felipe Nascimento Miranda,Mina,0
Goiás - GO,Luis Felipe Oyama,Luis,0
Fluminense - RJ,Luis Fernando Santos da Silva,Luis Fernando,0
Cruzeiro Saf - MG,Luis Fernando Santos Oliveira,Luis Fernando,0
,Luis Geovanny Segovia Vega,Luis Segovia,0
Palmeiras - SP,Luis Guilherme Lira dos Santos,Luis Guilherme,31
Cuiabá Saf - MT,Luis Henrique Fonseca Soares,Luis,0
Grêmio - RS,Luis Henrique Hoffmann,Zinho,48
Botafogo - RJ,Luis Henrique Tomaz de Lima,Luis Henrique,11
,Luis Manuel Orejuela Garcia,Orejuela,0
Internacional - RS,Luiz Adriano Souza da Silva,Luiz Adriano,9
Flamengo - RJ,Luiz de Araujo Guimaraes Neto,Luiz,0
Goiás - GO,Luiz Diallisson de Souza Alves,Apodi,22
Atlético - GO,Luiz Felipe do Nascimento dos Santos,Luiz Felipe,0
Cuiabá Saf - MT,Luiz Felipe Mathias Silva,Silva,0
Athletico Paranaense - PR,Luiz Fernando Salles de Castro,Sorriso,0
Cruzeiro Saf - MG,Luiz Filipe da Rosa Machado,Filipe Machado,23
Sao Bernardo Fc - SP,Luiz Filipe dos Reis Silva,Luiz Filipe,0
Corinthians - SP,Luiz Gustavo Lemos Carvalho,Luiz Gustavo,0
Vasco da Gama S.a.f. - RJ,Lyncon Correa Gonçalves,Lyncon,0
Athletico Paranaense - PR,Madson Ferreira dos Santos,Madson,22
Goiás - GO,Magno Jose da Silva,Magno Jose,2
Vasco da Gama S.a.f. - RJ,Maicon Pereira Roque,Maicon,0
Fluminense - RJ,Manoel Messias Silva Carvalho,Manoel,26
Vasco da Gama S.a.f. - RJ,Manuel Vicente Capasso,Capasso,22
Bahia - BA,Marcello Gesteira de Souza,Marcello,0
Red Bull Bragantino - SP,Marcelo Braz da Silva,Marcelo,0
Athletico Paranaense - PR,Marcelo Cirino da Silva,Marcelo Cirino,0
Fortaleza - CE,Marcelo da Conceiçao Benevenuto Malaquias,Marcelo,5
Palmeiras - SP,Marcelo Lomba do Nascimento,Marcelo Lomba,42
Goiás - GO,Marcelo Rangel Rosa,Rangel,88
Fluminense - RJ,Marcelo Vieira da Silva Junior,Marcelo,0
Fluminense - RJ,Marcilio Florencio Mota Filho,Nino,33
America Saf - MG,Marcio Almeida de Oliveira,Marcinho,25
São Paulo - SP,Marcio Rafael Ferreira de Souza,Rafinha,13
Coritiba S.a.f. - PR,Marco Antonio Amorim de Oliveira Montes,Marcão,0
Athletico Paranaense - PR,Marcos Andre Paulino Maia,Marcão,0
Fluminense - RJ,Marcos da Silva Franca,Keno,11
Bahia - BA,Marcos Felipe de Freitas Monteiro,Marcos Felipe,0
Santos - SP,Marcos Leonardo Santos Almeida,Marcos Leonardo,9
Palmeiras - SP,Marcos Luis Rocha Aquino,Marcos Rocha,2
São Paulo - SP,Marcos Paulo Costa do Nascimento,Marcos Paulo,32
Flamengo - RJ,Marcos Paulo Lima Batista Silva,Marcos Paulo,0
Bahia - BA,Marcos Victor Ferreira da Silva,Marcos Victor,0
Red Bull Bragantino - SP,Marcos Vinicios Lopes Moura,Sorriso,27
Atlético Mineiro - MG,Mariano Ferreira Filho,Mariano,25
Fortaleza - CE,Mario Sergio Santos Costa,Marinho,0
Cuiabá Saf - MT,Marllon Goncalves Jeronimo Borges,Marllon,4
Vasco da Gama S.a.f. - RJ,Marlon dos Santos Pinto,Marlon,0
Vasco da Gama S.a.f. - RJ,Marlon Gomes Claudino,Marlon Gomes,25
America Saf - MG,Marlon Matheus Lopes do Nascimento,Marlon,6
Botafogo - RJ,Marlon Rodrigues Freitas,Marlon Freitas,17
Cruzeiro Saf - MG,Marlon Rodrigues Xavier,Marlon,3
Fluminense - RJ,Marlon Santos da Silva Barbosa,Marlon Santos,0
São Paulo - SP,Marques Rickelme Cabral Barbosa,Marques Rickelme,0
,Marrony da Silva Liberato Silveira,Marrony,0
America Saf - MG,Martin Nicolas Benitez,Martin Benitez,0
Botafogo - RJ,Mateo Ponte Costa,Mateo Ponte,0
Vasco da Gama S.a.f. - RJ,Mateus Carvalho dos Santos,Mateus Carvalho,0
Cuiabá Saf - MT,Mateus da Silva Duarte,Matheusinho,98
Cruzeiro Saf - MG,Mateus da Silva Vital Assumpção,Mateus,7
,Mateus Dias Lima,Mateusão,0
Bahia - BA,Mateus Eduardo Claus,Mateus Claus,0
Vitória - BA,Mateus Goncalves Martins,Mateus Gonçalves,0
America Saf - MG,Mateus Henrique Alves Silva,Mateus,14
Atlético Mineiro - MG,Mateus Jose Iseppe,Mateus Iseppe,0
Palmeiras - SP,Mateus Oliveira Mendes,Mateus Oliveira,0
America Saf - MG,Mateus Pasinato,Mateus,14
Cuiabá Saf - MT,Matheus Alexandre Anastacio de Souza,Matheus Alexandre,2
Goiás - GO,Matheus Alves da Silva Cardoso,Matheus Alves,0
Bahia - BA,Matheus Bahia Santos,Matheus Bahia,0
Goiás - GO,Matheus Barcelos da Silva,Matheus Babi,0
Corinthians - SP,Matheus Correa Leite de Moraes Gonçalves,Matheus Corrêa,0
Flamengo - RJ,Matheus Cunha Queiroz,Matheus Cunha,25
Corinthians - SP,Matheus de Araujo Andrade,Matheus Araujo,30
Fluminense - RJ,Matheus dos Reis Francisco,Matheus Reis,0
Internacional - RS,Matheus dos Santos Dias,Matheus,41
Vasco da Gama S.a.f. - RJ,Matheus dos Santos Miranda,Miranda,35
Athletico Paranaense - PR,Matheus Felipe Santos Nascimento,Matheus Felipe,42
Cruzeiro Saf - MG,Matheus Fellipe Costa Pereira,Matheus Pereira,0
Red Bull Bragantino - SP,Matheus Fernandes Siqueira,Matheus Fernandes,35
America Saf - MG,Matheus Fernando Cavichioli,Matheus,1
,Matheus França de Oliveira,Matheus França,0
Flamengo - RJ,Matheus Franca Silva,Matheuzinho,0
Vasco da Gama S.a.f. - RJ,Matheus Gabriel Julião Damasceno,Matheus,0
Red Bull Bragantino - SP,Matheus Gonçalves Martins,Matheus Gonçalves,0
Coritiba S.a.f. - PR,Matheus Henrique Bianqui,Matheus,0
Cruzeiro Saf - MG,Matheus Isaias dos Santos,Matheus,18
Cuiabá Saf - MT,Matheus Jorge Martins dos Santos,Matheus Jorge,0
São Paulo - SP,Matheus Jose Belem de Souza,Matheus,0
America Saf - MG,Matheus Leonardo Sales Cardoso,Matheusinho,7
Corinthians - SP,Matheus Lima Beltrao Oliveira,Matheus Bidu,21
Fluminense - RJ,Matheus Martinelli Lima,Martinelli,0
Atlético Mineiro - MG,Matheus Mendes Werneck de Oliveira,Matheus Mendes,31
Botafogo - RJ,Matheus Nascimento de Paula,Matheus Nascimento,0
Corinthians - SP,Matheus Planelles Donelli,Matheus Donelli,0
Mirassol - SP,Matheus Santos Soares,Matheus,0
Atlético - GO,Matheus Vieira Campos Peixoto,Matheus Peixoto,0
Grêmio - RS,Mathias Adalberto Villasanti Rolon,Villasanti,20
Botafogo - RJ,Matias Emanuel Segovia Torales,Matias Segovia,19
Club Atletico Talleres - RJ,Matias Galarza Fonda,Matias Galarza,0
Corinthians - SP,Matias Nicolas Rojas Romero,Matias Rojas,0
Internacional - RS,Matteo Amaral Amoroso dos Santos,Matteo,0
Coritiba S.a.f. - PR,Mauricio de Carvalho Antonio,Mauricio,0
Coritiba S.a.f. - PR,Mauricio Garcez de Jesus,MAURICIO,0
Fortaleza - CE,Mauricio Kozlinski,Mauricio Kozlinski,30
Internacional - RS,Mauricio Magalhaes Prado,Mauricio,27
,Mauro Joel Carli,Carli,0
Santos - SP,Maximiliano Joaquin Silvera Cabo,Maximiliano,0
Red Bull Bragantino - SP,Maycon Cleiton de Paula Azevedo,Maycon,12
Corinthians - SP,Maycon de Andrade Barberan,Maycon,7
Cruzeiro Saf - MG,Maycon Vinicius Ferreira da Cruz,Nikao,10
Palmeiras - SP,Mayke Rocha de Oliveira,Mayke,0
Santos - SP,Messias Rodrigues da Silva Junior,Messias,24
Palmeiras - SP,Michel Augusto Modesto Rafael dos Santos,Michel,0
São Paulo - SP,Michel Daryl Araujo Villar,Michel Araujo,15
Santos - SP,Miguel Angel Terceros Acuna,Miguel,47
,Miguel David Terans Perez,David Terans,0
America Saf - MG,Mikael Filipe Viana de Sousa,MIKAEL,87
,Moises Vieira da Veiga,Moises,0
,Murillo Santiago Costa dos Santos,Murillo,0
Palmeiras - SP,Murilo Cerqueira Paim,Murilo,26
Athletico Paranaense - PR,Mycael Pontes Moreira,Mycael,0
São Paulo - SP,Nahuel Adolfo Ferraresi Hernandez,Ferraresi,0
Grêmio - RS,Nata Felipe de Amorim Santos,Nata,36
,Natan Bernardo de Souza,Natan,0
America Saf - MG,Natan Rodrigues de Sales,Natan,0
Coritiba S.a.f. - PR,Natanael Moreira Milouski,Natanael Milouski,0
Grêmio - RS,Nathan Allan de Souza,Nathan,7
Red Bull Bragantino - SP,Nathan Camargo dos Santos,Nathan Camargo,0
São Paulo - SP,Nathan Gabriel de Souza Mendes,Nathan,45
Abc - RN,Nathan Melo Silva,Nathan,0
Grêmio - RS,Nathan Ribeiro Fernandes,Nathan,7
,Nathan Santos de Araújo,Nathan,0
,Nathanael Ananias da Silva,Nathan Silva,0
Bahia - BA,Neuciano de Jesus Gusmao,Cicinho,0
Botafogo - RJ,Newton Araujo da Costa Junior,Newton,0
Bahia - BA,Nicolas Brian Acevedo Tabarez,Acevedo,0
Ceará - CE,Nicolas Godinho Johann,Nicolas,0
Internacional - RS,Nicolas Hernandez Rodriguez,Nicolas Hernandez,22
Cuiabá Saf - MT,Nicolas Quagliata Platero,Nicolas,25
America Saf - MG,Nicolas Vichiatto da Silva,Nicolas,30
Cuiabá Saf - MT,Nilton Amador de Oliveira Filho,Nilton,0
America Saf - MG,Oscar Javier Mendez Albornoz,Javier Mendez,0
Cruzeiro Saf - MG,Otavio Eleodoro Rezende Costa,OTAVIO,0
Atlético Mineiro - MG,Otavio Henrique Passos Santos,Otavio,5
,Pablo Daniel Ceppelini Gatto,Pablo Ceppelini Gatto,0
Vasco da Gama S.a.f. - RJ,Pablo de Paula Cardoso,Pablo de Paula,0
Vasco da Gama S.a.f. - RJ,Pablo Ezequiel Vegetti,Vegetti,0
Athletico Paranaense - PR,Pablo Felipe Teixeira,Pablo,92
São Paulo - SP,Pablo Gonçalves Maia Fortunato,Pablo,29
Cuiabá Saf - MT,Pablo Henrique Almeida Silva,PABLO,0
Flamengo - RJ,Pablo Nascimento Castro,Pablo,30
Atlético Mineiro - MG,Paolo Mauricio Lemos Merladett,Muricio Lemos,28
Atlético Mineiro - MG,Patrick Bezerra do Nascimento,Patrick,49
Vasco da Gama S.a.f. - RJ,Patrick de Lucca Chaves de Oliveira,de Lucca,0
,Patrick Paixão Sumas Costa,Patrick,0
Bahia - BA,Patrick Verhon Pertel Pereira,Patrick Verhon,0
São Paulo - SP,Patryck Lanza dos Reis,Patryck,36
Bahia - BA,Paulo Ganem Souto Neto,Paulo Souto,0
Fluminense - RJ,Paulo Henrique Chagas de Lima,PH GANSO,10
Vasco da Gama S.a.f. - RJ,Paulo Henrique de Oliveira Alves,Paulo Henrique,96
America Saf - MG,Paulo Henrique Pereira da Silva,Paulo,0
Atlético Mineiro - MG,Paulo Henrique Sampaio Filho,Paulinho,10
Vasco da Gama S.a.f. - RJ,Paulo Lucas Santos de Paula,Paulinho,29
Santos - SP,Paulo Mazoti Azevedo,Paulo,0
America Saf - MG,Paulo Ricardo Alves Ibelli,PAULO,0
Vasco da Gama S.a.f. - RJ,Paulo Ricardo de Souza Babilonia,Paulinho,29
