Nome,Apelido,Clube
Jhegson Sebastian Mendez Carabali,Sebastian Mendez,São Paulo - SP
Jhoanner Stalin Chavez Quintero,Chavez,
Jhon Adolfo Arias Andrade,Jhon Arias,Fluminense - RJ
Jhonata Robert Alves da Silva,Jhonata Robert,Grêmio - RS
Jhonatan dos Santos Rosa,Jhon Jhon,Palmeiras - SP
Jhonatan Kauan Eleoterio Diogo,JHONATAN,Internacional - RS
Jhonny Cardinoti Pedro,Jhonny,Red Bull Bragantino - SP
Jhonny Lucas Flora Barboza,Jhonny,Vitória - BA
Jhosefer Raphael Januario,Jhosefer,Cruzeiro Saf - MG
João Batista da Cruz Santos Neto,João Neto,Fluminense - RJ
Joao Carlos Heidemann,Joao Carlos,Cuiabá Saf - MT
João Douglas de Sousa Silva,João Douglas,Red Bull Bragantino - SP
João Fernando Monteiro Siqueira,João Fernando,Botafogo - RJ
João Henrique Mendes da Silva,João Henrique (Esquerdinha),Fluminense - RJ
Joao Lucas de Almeida Carvalho,Joao,Santos - SP
Joao Lucas de Souza Cardoso,Joao Lucas,Internacional - RS
João Luiz da Silva Cipriano,Cipriano,Red Bull Bragantino - SP
Joao Marcelo Messias Ferreira,Joao Marcelo,Cruzeiro Saf - MG
Joao Marcos Garcia da Costa,Joao Marcos,Flamengo - RJ
João Moreira Sanmartin Souza,João Moreira,São Paulo - SP
Joao Othavio Basso,Joao,Santos - SP
Joao Paulo Dalla Corte,Dalla Corte,Internacional - RS
Joao Paulo de Souza Mares,Bitello,
Joao Paulo Silva Martins,Joao Paulo,Santos - SP
João Pedro da Cruz Oliveira,João Pedro Oliveira,Cruzeiro Saf - MG
Joao Pedro de Sousa Rodrigues,Joao Pedro,Corinthians - SP
Joao Pedro Dias de Oliveira,Joao Pedro,Internacional - RS
João Pedro Galvão de Carvalho,JP Galvão,Botafogo - RJ
Joao Pedro Geraldino dos Santos Galvao,Joao Pedro,Grêmio - RS
Joao Pedro Maturano dos Santos,Joao Pedro,Grêmio - RS
João Pedro Murilo de Paula Morais,João Pedro,Vasco da Gama S.a.f. - RJ
João Pedro Pantiga Gomes,João Pedro,São Paulo - SP
Joao Pedro Ramos Oliveira Lima,Joao Ramos,Grêmio - RS
Joao Pedro Vilardi Pinto,Pepe,Grêmio - RS
Joao Rafael Macedo Pereira,Joao Rafael,Atlético Mineiro - MG
Joao Ricardo Riedi,João Ricardo,Fortaleza - CE
Joao Victo Magno de Souza Machado,Joao,Goiás - GO
Joao Victor Andrade Caetano,Caetano,Corinthians - SP
João Victor Araújo Maraninir,JOÃO,Botafogo - SP
João Victor Broad Moreira Guimaraes,Jota,Bahia - BA
Joao Victor de Amorim Marinho,Balao,Santos - SP
João Victor Machado Cruz,João Cruz,Athletico Paranaense - PR
Joao Victor Santos Sa,Joao Victor,Botafogo - RJ
Joao Vitor Araujo da Silva,Joao Vitor,Grêmio - RS
Joao Vitor Balbino Cordeiro,Joao Vitor Balbino Cordeiro,Cuiabá Saf - MT
Joao Vitor da Silva Almeida,João Vitor,Coritiba S.a.f. - PR
Joao Vitor Tavares da Mota,Joao Vitor,Athletico Paranaense - PR
Joao Vitor Vallony da Silva,Da Silva,Red Bull Bragantino - SP
Joao Wellington Gadelha Melo de Oliveira,JAPA,Cruzeiro Saf - MG
Joaquim Henrique Pereira Silva,Joaquim,Santos - SP
Joaquin Piquerez Moreira,Joaquin Piquerez,Palmeiras - SP
John Kennedy Batista de Souza,John Kennedy,Fluminense - RJ
John Steven Mendoza Valencia,Mendoza,Santos - SP
John Victor Maciel Furtado,John,
Jonathan Alecxander da Silva Valerio,Jonathan Alecxander,America Saf - MG
Jonathan Calleri,Calleri,São Paulo - SP
Jonathan Renato Barbosa,Cafu,Cuiabá Saf - MT
Jorge Vinicius Ribeiro da Silva,Jorge Vinicius,Coritiba S.a.f. - PR
Joriwinnyson Santos dos Anjos Rodrigues,Joriwinnyson,America Saf - MG
Jose Andres Hurtado Cheme,Andres Hurtado,Red Bull Bragantino - SP
Jose Antonio dos Santos Junior,Junior,Botafogo - RJ
Jose Gabriel dos Santos Silva,Zé Gabriel,Vasco da Gama S.a.f. - RJ
Jose Guilherme de Lima Costa,José Guilherme,Grêmio - RS
Jose Henrique da Silva Dourado,Henrique Dourado,Chapecoense - SC
Jose Ivaldo Almeida Silva,Ze Ivaldo,
Jose Luis Rodriguez Bebanz,Puma Rodriguez,Vasco da Gama S.a.f. - RJ
Jose Manuel Alberto Lopez,Lopez,Palmeiras - SP
Jose Paulo Bezerra Maciel Junior,Paulinho,Corinthians - SP
Jose Rafael Vivian,Ze Rafael,Palmeiras - SP
Jose Ricardo Araujo Fernandes,Zé Ricardo,Tombense - MG
Jose Ricardo Batista Cerqueira,RICARDO,Cuiabá Saf - MT
Jose Rodolfo Pires Ribeiro,Dodo,Santos - SP
Jose Romario Silva de Souza,Romarinho,Fortaleza - CE
Jose Vitor Geminiano Cavalieri,Zé Vitor,Vasco da Gama S.a.f. - RJ
Jose Welinton Campos Menezes,Zé Welinton,Flamengo - RJ
José Welison da Silva,Welison,Fortaleza - CE
Josue Souza dos Santos,Josue,Grêmio - RS
Juan Christian Pereira Coelho,Juan Christian,Vila Nova - GO
Juan Manuel Iturbe Arevalos,Iturbe,Grêmio - RS
Juan Martin Lucero,Lucero,Fortaleza - CE
Juan Pablo Vilela Tavares,Juan Tavares,Cuiabá Saf - MT
Juan Ramon Cazares Sevillano,Cazares,America Saf - MG
Juan Santos da Silva,Juan,São Paulo - SP
Julian Eduardo Palacios,Julian,Goiás - GO
Julimar Silva Oliveira Junior,Julimar,Mirassol - SP
Julio Cesar Alves Gonçalves,Julio,America Saf - MG
Julio Cesar de Rezende Miranda,Rezende,Bahia - BA
Julio Cesar Furch,Julio Furch,Santos - SP
Julio Cesar Lima Fidelis,Julio Fidelis,Fluminense - RJ
Kaiki Bruno da Silva,Kaiki Bruno,Cruzeiro Saf - MG
Kaiky Marques Naves,Kaiky,Palmeiras - SP
Kaio Cesar Andrade Lima,Kaio Lima,Coritiba S.a.f. - PR
Kaique Pereira Azarias,Kaique,Palmeiras - SP
Kaique Rocha Lima,Kaique,Athletico Paranaense - PR
Kaua Diniz Rocha,kaua,America Saf - MG
Kauã Elias Nogueira,Kauã Elias,Fluminense - RJ
Kauan Jesus Santos Oliveira,Kauan,Internacional - RS
Kauan Martins Chagas,Kauan,Red Bull Bragantino - SP
Kauan Rodrigues da Silva,Kauan,Fortaleza - CE
Kauan Santos Silva,Kauan Santos,Palmeiras - SP
Kauan Silva Sales,KAUAN,Atlético Mineiro - MG
Kauê Rodrigues Pessanha,Kauê,Botafogo - RJ
Kauê Vinicius de Souza Camargo,KAUÊ C.,Corinthians - SP
Kawe Ferreira Godoy Viana,Kawe,Red Bull Bragantino - SP
Kayke Ferrari Guimaraes,Kayke,Corinthians - SP
Kayke Gouvêa Queiroz,KAYKE,Botafogo - RJ
Kayky da Silva Chagas,Kayky Chagas,
Kayky Henrique Almeida Brandão da Silva,Kayky Almeida,Fluminense - RJ
Kayque Luiz Pereira,Kayque,
Kayque Ryann Santos Silva,KAYQUE,Atlético Mineiro - MG
Keiller da Silva Nunes,Keiller,Internacional - RS
Kennedy Anderson Gomes Ferreira,Kennedy,Bahia - BA
Kervin Mario Andrade Navarro,Kervin,Fortaleza - CE
Kevin Joel Lomonaco,Kevin,
Kevin Santos Lopes de Macedo,Kevin,Palmeiras - SP
Kevyn Vinicius Medeiros de Freitas,Kevyn,Fluminense - RJ
Kevyson Costa E Silva,Kevyson,Santos - SP
Khellven Douglas Silva Oliveira,Khellven,
Leanderson da Silva Genesio,Lelê,Fluminense - RJ
Leandro Emmanuel Martinez,Emmanuel Martinez,America Saf - MG
Leandro Filipe de Almeida Dornelles,Filipe,Athletico Paranaense - PR
Leandro Josue Rodriguez Santaella,Leandro,Atlético Mineiro - MG
Leandro Mathias Silva Bueno,Leandro,São Paulo - SP
Leandro Viana da Silva Gama,Leandro Viana,Vasco da Gama S.a.f. - RJ
Leonardo Ataide de Oliveira Siqueira,Ataide,Athletico Paranaense - PR
Leonardo Augusto de Oliveira,Leo Oliveira,Cuiabá Saf - MT
Leonardo Cecilio Fernandez Lopez,Leo Fernandez,Fluminense - RJ
Leonardo Cesar Jardim,Leo Jardim,Vasco da Gama S.a.f. - RJ
Leonardo Cittadini,Cittadini,Bahia - BA
Leonardo de Azevedo Silva,Leonardo,Palmeiras - SP
Leonardo de Oliveira Jance,Leonardo,Fluminense - RJ
Leonardo Derik Dias Goncalves,Leonardo Derik,Athletico Paranaense - PR
Leonardo dos Santos Lopes da Silva,Leonardo Santos,Atlético Mineiro - MG
Leonardo Estigarribia Ferreira,Dourado,Athletico Paranaense - PR
Leonardo Gomes da Silva Jaco,Leonardo,Vasco da Gama S.a.f. - RJ
Leonardo Javier Realpe Montaño,Léo Realpe,Red Bull Bragantino - SP
Leonardo Mana Hernandes,Léo Mana,Corinthians - SP
Leonardo Matias Baiersdorf Linck,Leo Linck,Athletico Paranaense - PR
Leonardo Pereira,Leo Pereira,Flamengo - RJ
Leonardo Pinheiro da Conceicao,Léo,Vasco da Gama S.a.f. - RJ
Leonardo Rech Ortiz,Léo Ortiz,Red Bull Bragantino - SP
Leonel Di Placido,Di Placido,Botafogo - RJ
Lian dos Santos da Silva,Lian,Grêmio - RS
Lorran Lucas Pereira de Sousa,Lorran,Flamengo - RJ
Luan Candido de Almeida,Luan Candido,Red Bull Bragantino - SP
Luan de Campos Cristino da Silva,LUAN,
Luan de Freitas Molarinho Chagas,Luan Freitas,Londrina - PR
Luan Dias da Silva,Luan,Santos - SP
Luan Garcia Teixeira,Luan Garcia,Palmeiras - SP
Luan Guilherme de Jesus Vieira,Luan,Grêmio - RS
Luan Jesus Mendes de Lima,Luan,Internacional - RS
Luan Patrick Wiedthauper,Luan Patrick,Red Bull Bragantino - SP
Luan Polli Gomes,Luan Polli,Coritiba S.a.f. - PR
Luan Vinicius da Silva Santos,Luan Silva,São Paulo - SP
Luca Nicolas Orellano,Orellano,Vasco da Gama S.a.f. - RJ
Lucas Agustin Besozzi,Besozzi,Grêmio - RS
Lucas Alexandre Galdino de Azevedo,Lucão,Red Bull Bragantino - SP
Lucas Andres Mugni,Mugni,Bahia - BA
Lucas Angel Esquivel,Lucas Esquivel,Athletico Paranaense - PR
Lucas Belezi Barbosa,Lucas Belezi,Athletico Paranaense - PR
Lucas Braga Ribeiro,Lucas,Santos - SP
Lucas Cardoso Moreira,Lucas Cardoso,Botafogo - SP
Lucas da Cruz Oliveira,Lucas Oliveira,Cruzeiro Saf - MG
Lucas da Silva Izidoro,Lucas,Cuiabá Saf - MT
Lucas da Silva Justen,Justen,Fluminense - RJ
Lucas de Figueiredo Crispim,Lucas Crispim,Fortaleza - CE
Lucas de Ramos Silveira,Lucas Ramos,Internacional - RS
Lucas de Souza Cunha,Lucas Cunha,Red Bull Bragantino - SP
Lucas Domingues Piazon,Lucas,
Lucas Eduardo de Souza Oliveira,Lucas Eduardo,Vasco da Gama S.a.f. - RJ
Lucas Eduardo Muller,Mila,Grêmio - RS
Lucas Eduardo Ribeiro de Souza,Edu,Goiás - GO
Lucas Emmanuel Araujo Macedo,LUCAS,Aparecida Esporte Clube - GO
Lucas Estella Perri,Lucas Perri,Botafogo - RJ
Lucas Esteves Souza,Lucas Esteves,Atlético - GO
Lucas Evangelista Santana de Oliveira,Evangelista,Red Bull Bragantino - SP
Lucas Fernandes da Silva,Lucas,Botafogo - RJ
Lucas Figueiredo dos Santos,Figueiredo,Vasco da Gama S.a.f. - RJ
Lucas Fonseca Gomes Barreto,Lucas,Botafogo - RJ
Lucas Halter,Halter,Goiás - GO
Lucas Henrique Barbosa,Lucas,Coritiba S.a.f. - PR
Lucas Kal Schenfeld Prigioli,Lucas,America Saf - MG
Lucas Lopes Beraldo,Beraldo,São Paulo - SP
Lucas Mazdiel Aruba Santos,Aruba,Bahia - BA
Lucas Pacheco Affini,Lucas,Fortaleza - CE
Lucas Pires Silva,Lucas Pires,
Lucas Piton Crivellaro,Lucas Piton,Vasco da Gama S.a.f. - RJ
Lucas Rafael Araujo Lima,Lucas Lima,Santos - SP
Lucas Rafael Gonçalves da Silva,Lucas Rafael,Red Bull Bragantino - SP
Lucas Rodrigues Moura da Silva,Lucas,São Paulo - SP
Lucas Ronier Vieira Pires,LUCAS RONIER,Coritiba S.a.f. - PR
Lucas Silva Borges,Lucas Silva,Cruzeiro Saf - MG
Lucas Verissimo da Silva,Lucas Verissimo,Corinthians - SP
Lucca Holanda Sampaio Tavares,Lucca,Internacional - RS
Lucca Prior Pimenta,Lucca,Athletico Paranaense - PR
Luciano Batista da Silva Junior,Luciano Juba,Bahia - BA
Luciano Castan da Silva,Luciano Castan,Cruzeiro Saf - MG
Luciano da Rocha Neves,Luciano,São Paulo - SP
Luciano Daniel Arriagada Garcia,Luciano Arriagada,Athletico Paranaense - PR
Luighi Hanri Sousa Santos,Luighi,Palmeiras - SP
Luis Alberto Suarez Diaz,Suarez,Grêmio - RS
Luis Antonio da Rocha Junior,J. Capixaba,Red Bull Bragantino - SP
Luis Antonio Ferreira Rodrigues,Luis,Sport - PE
Luis Eduardo Marques dos Santos,Dudu,Fortaleza - CE
Luis Eduardo Soares da Silva,Cuiabano,Grêmio - RS
Luis Felipe Nascimento Miranda,Mina,Goiás - GO
Luis Felipe Oyama,Luis,Goiás - GO
Luis Fernando Santos da Silva,Luis Fernando,Fluminense - RJ
Luis Fernando Santos Oliveira,Luis Fernando,Cruzeiro Saf - MG
Luis Geovanny Segovia Vega,Luis Segovia,
Luis Guilherme Lira dos Santos,Luis Guilherme,Palmeiras - SP
Luis Henrique Fonseca Soares,Luis,Cuiabá Saf - MT
Luis Henrique Hoffmann,Zinho,Grêmio - RS
Luis Henrique Tomaz de Lima,Luis Henrique,Botafogo - RJ
Luis Manuel Orejuela Garcia,Orejuela,
Luiz Adriano Souza da Silva,Luiz Adriano,Internacional - RS
Luiz de Araujo Guimaraes Neto,Luiz,Flamengo - RJ
Luiz Diallisson de Souza Alves,Apodi,Goiás - GO
Luiz Felipe do Nascimento dos Santos,Luiz Felipe,Atlético - GO
Luiz Felipe Mathias Silva,Silva,Cuiabá Saf - MT
Luiz Fernando Salles de Castro,Sorriso,Athletico Paranaense - PR
Luiz Filipe da Rosa Machado,Filipe Machado,Cruzeiro Saf - MG
Luiz Filipe dos Reis Silva,Luiz Filipe,Sao Bernardo Fc - SP
Luiz Gustavo Lemos Carvalho,Luiz Gustavo,Corinthians - SP
Lyncon Correa Gonçalves,Lyncon,Vasco da Gama S.a.f. - RJ
Madson Ferreira dos Santos,Madson,Athletico Paranaense - PR
Magno Jose da Silva,Magno Jose,Goiás - GO
Maicon Pereira Roque,Maicon,Vasco da Gama S.a.f. - RJ
Manoel Messias Silva Carvalho,Manoel,Fluminense - RJ
Manuel Vicente Capasso,Capasso,Vasco da Gama S.a.f. - RJ
Marcello Gesteira de Souza,Marcello,Bahia - BA
Marcelo Braz da Silva,Marcelo,Red Bull Bragantino - SP
Marcelo Cirino da Silva,Marcelo Cirino,Athletico Paranaense - PR
Marcelo da Conceiçao Benevenuto Malaquias,Marcelo,Fortaleza - CE
Marcelo Lomba do Nascimento,Marcelo Lomba,Palmeiras - SP
Marcelo Rangel Rosa,Rangel,Goiás - GO
Marcelo Vieira da Silva Junior,Marcelo,Fluminense - RJ
Marcilio Florencio Mota Filho,Nino,Fluminense - RJ
Marcio Almeida de Oliveira,Marcinho,America Saf - MG
Marcio Rafael Ferreira de Souza,Rafinha,São Paulo - SP
Marco Antonio Amorim de Oliveira Montes,Marcão,Coritiba S.a.f. - PR
Marcos Andre Paulino Maia,Marcão,Athletico Paranaense - PR
Marcos da Silva Franca,Keno,Fluminense - RJ
Marcos Felipe de Freitas Monteiro,Marcos Felipe,Bahia - BA
Marcos Leonardo Santos Almeida,Marcos Leonardo,Santos - SP
Marcos Luis Rocha Aquino,Marcos Rocha,Palmeiras - SP
Marcos Paulo Costa do Nascimento,Marcos Paulo,São Paulo - SP
Marcos Paulo Lima Batista Silva,Marcos Paulo,Flamengo - RJ
Marcos Victor Ferreira da Silva,Marcos Victor,Bahia - BA
Marcos Vinicios Lopes Moura,Sorriso,Red Bull Bragantino - SP
Mariano Ferreira Filho,Mariano,Atlético Mineiro - MG
Mario Sergio Santos Costa,Marinho,Fortaleza - CE
Marllon Goncalves Jeronimo Borges,Marllon,Cuiabá Saf - MT
Marlon dos Santos Pinto,Marlon,Vasco da Gama S.a.f. - RJ
Marlon Gomes Claudino,Marlon Gomes,Vasco da Gama S.a.f. - RJ
Marlon Matheus Lopes do Nascimento,Marlon,America Saf - MG
Marlon Rodrigues Freitas,Marlon Freitas,Botafogo - RJ
Marlon Rodrigues Xavier,Marlon,Cruzeiro Saf - MG
Marlon Santos da Silva Barbosa,Marlon Santos,Fluminense - RJ
Marques Rickelme Cabral Barbosa,Marques Rickelme,São Paulo - SP
Marrony da Silva Liberato Silveira,Marrony,
Martin Nicolas Benitez,Martin Benitez,America Saf - MG
Mateo Ponte Costa,Mateo Ponte,Botafogo - RJ
Mateus Carvalho dos Santos,Mateus Carvalho,Vasco da Gama S.a.f. - RJ
Mateus da Silva Duarte,Matheusinho,Cuiabá Saf - MT
Mateus da Silva Vital Assumpção,Mateus,Cruzeiro Saf - MG
Mateus Dias Lima,Mateusão,
Mateus Eduardo Claus,Mateus Claus,Bahia - BA
Mateus Goncalves Martins,Mateus Gonçalves,Vitória - BA
Mateus Henrique Alves Silva,Mateus,America Saf - MG
Mateus Jose Iseppe,Mateus Iseppe,Atlético Mineiro - MG
Mateus Oliveira Mendes,Mateus Oliveira,Palmeiras - SP
Mateus Pasinato,Mateus,America Saf - MG
Matheus Alexandre Anastacio de Souza,Matheus Alexandre,Cuiabá Saf - MT
Matheus Alves da Silva Cardoso,Matheus Alves,Goiás - GO
Matheus Bahia Santos,Matheus Bahia,Bahia - BA
Matheus Barcelos da Silva,Matheus Babi,Goiás - GO
Matheus Correa Leite de Moraes Gonçalves,Matheus Corrêa,Corinthians - SP
Matheus Cunha Queiroz,Matheus Cunha,Flamengo - RJ
Matheus de Araujo Andrade,Matheus Araujo,Corinthians - SP
Matheus dos Reis Francisco,Matheus Reis,Fluminense - RJ
Matheus dos Santos Dias,Matheus,Internacional - RS
Matheus dos Santos Miranda,Miranda,Vasco da Gama S.a.f. - RJ
Matheus Felipe Santos Nascimento,Matheus Felipe,Athletico Paranaense - PR
Matheus Fellipe Costa Pereira,Matheus Pereira,Cruzeiro Saf - MG
Matheus Fernandes Siqueira,Matheus Fernandes,Red Bull Bragantino - SP
Matheus Fernando Cavichioli,Matheus,America Saf - MG
Matheus França de Oliveira,Matheus França,
Matheus Franca Silva,Matheuzinho,Flamengo - RJ
Matheus Gabriel Julião Damasceno,Matheus,Vasco da Gama S.a.f. - RJ
Matheus Gonçalves Martins,Matheus Gonçalves,Red Bull Bragantino - SP
Matheus Henrique Bianqui,Matheus,Coritiba S.a.f. - PR
Matheus Isaias dos Santos,Matheus,Cruzeiro Saf - MG
Matheus Jorge Martins dos Santos,Matheus Jorge,Cuiabá Saf - MT
Matheus Jose Belem de Souza,Matheus,São Paulo - SP
Matheus Leonardo Sales Cardoso,Matheusinho,America Saf - MG
Matheus Lima Beltrao Oliveira,Matheus Bidu,Corinthians - SP
Matheus Martinelli Lima,Martinelli,Fluminense - RJ
Matheus Mendes Werneck de Oliveira,Matheus Mendes,Atlético Mineiro - MG
Matheus Nascimento de Paula,Matheus Nascimento,Botafogo - RJ
Matheus Planelles Donelli,Matheus Donelli,Corinthians - SP
Matheus Santos Soares,Matheus,Mirassol - SP
Matheus Vieira Campos Peixoto,Matheus Peixoto,Atlético - GO
Mathias Adalberto Villasanti Rolon,Villasanti,Grêmio - RS
Matias Emanuel Segovia Torales,Matias Segovia,Botafogo - RJ
Matias Galarza Fonda,Matias Galarza,Club Atletico Talleres - RJ
Matias Nicolas Rojas Romero,Matias Rojas,Corinthians - SP
Matteo Amaral Amoroso dos Santos,Matteo,Internacional - RS
Mauricio de Carvalho Antonio,Mauricio,Coritiba S.a.f. - PR
Mauricio Garcez de Jesus,MAURICIO,Coritiba S.a.f. - PR
Mauricio Kozlinski,Mauricio Kozlinski,Fortaleza - CE
Mauricio Magalhaes Prado,Mauricio,Internacional - RS
Mauro Joel Carli,Carli,
Maximiliano Joaquin Silvera Cabo,Maximiliano,Santos - SP
Maycon Cleiton de Paula Azevedo,Maycon,Red Bull Bragantino - SP
Maycon de Andrade Barberan,Maycon,Corinthians - SP
Maycon Vinicius Ferreira da Cruz,Nikao,Cruzeiro Saf - MG
Mayke Rocha de Oliveira,Mayke,Palmeiras - SP
Messias Rodrigues da Silva Junior,Messias,Santos - SP
Michel Augusto Modesto Rafael dos Santos,Michel,Palmeiras - SP
Michel Daryl Araujo Villar,Michel Araujo,São Paulo - SP
Miguel Angel Terceros Acuna,Miguel,Santos - SP
Miguel David Terans Perez,David Terans,
Mikael Filipe Viana de Sousa,MIKAEL,America Saf - MG
Moises Vieira da Veiga,Moises,
Murillo Santiago Costa dos Santos,Murillo,
Murilo Cerqueira Paim,Murilo,Palmeiras - SP
Mycael Pontes Moreira,Mycael,Athletico Paranaense - PR
Nahuel Adolfo Ferraresi Hernandez,Ferraresi,São Paulo - SP
Nata Felipe de Amorim Santos,Nata,Grêmio - RS
Natan Bernardo de Souza,Natan,
Natan Rodrigues de Sales,Natan,America Saf - MG
Natanael Moreira Milouski,Natanael Milouski,Coritiba S.a.f. - PR
Nathan Allan de Souza,Nathan,Grêmio - RS
Nathan Camargo dos Santos,Nathan Camargo,Red Bull Bragantino - SP
Nathan Gabriel de Souza Mendes,Nathan,São Paulo - SP
Nathan Melo Silva,Nathan,Abc - RN
Nathan Ribeiro Fernandes,Nathan,Grêmio - RS
Nathan Santos de Araújo,Nathan,
Nathanael Ananias da Silva,Nathan Silva,
Neuciano de Jesus Gusmao,Cicinho,Bahia - BA
Newton Araujo da Costa Junior,Newton,Botafogo - RJ
Nicolas Brian Acevedo Tabarez,Acevedo,Bahia - BA
Nicolas Godinho Johann,Nicolas,Ceará - CE
Nicolas Hernandez Rodriguez,Nicolas Hernandez,Internacional - RS
Nicolas Quagliata Platero,Nicolas,Cuiabá Saf - MT
Nicolas Vichiatto da Silva,Nicolas,America Saf - MG
Nilton Amador de Oliveira Filho,Nilton,Cuiabá Saf - MT
Oscar Javier Mendez Albornoz,Javier Mendez,America Saf - MG
Otavio Eleodoro Rezende Costa,OTAVIO,Cruzeiro Saf - MG
Otavio Henrique Passos Santos,Otavio,Atlético Mineiro - MG
Pablo Daniel Ceppelini Gatto,Pablo Ceppelini Gatto,
Pablo de Paula Cardoso,Pablo de Paula,Vasco da Gama S.a.f. - RJ
Pablo Ezequiel Vegetti,Vegetti,Vasco da Gama S.a.f. - RJ
Pablo Felipe Teixeira,Pablo,Athletico Paranaense - PR
Pablo Gonçalves Maia Fortunato,Pablo,São Paulo - SP
Pablo Henrique Almeida Silva,PABLO,Cuiabá Saf - MT
Pablo Nascimento Castro,Pablo,Flamengo - RJ
Paolo Mauricio Lemos Merladett,Muricio Lemos,Atlético Mineiro - MG
Patrick Bezerra do Nascimento,Patrick,Atlético Mineiro - MG
Patrick de Lucca Chaves de Oliveira,de Lucca,Vasco da Gama S.a.f. - RJ
Patrick Paixão Sumas Costa,Patrick,
Patrick Verhon Pertel Pereira,Patrick Verhon,Bahia - BA
Patryck Lanza dos Reis,Patryck,São Paulo - SP
Paulo Ganem Souto Neto,Paulo Souto,Bahia - BA
Paulo Henrique Chagas de Lima,PH GANSO,Fluminense - RJ
Paulo Henrique de Oliveira Alves,Paulo Henrique,Vasco da Gama S.a.f. - RJ
Paulo Henrique Pereira da Silva,Paulo,America Saf - MG
Paulo Henrique Sampaio Filho,Paulinho,Atlético Mineiro - MG
Paulo Lucas Santos de Paula,Paulinho,Vasco da Gama S.a.f. - RJ
Paulo Mazoti Azevedo,Paulo,Santos - SP
Paulo Ricardo Alves Ibelli,PAULO,America Saf - MG
Paulo Ricardo de Souza Babilonia,Paulinho,Vasco da Gama S.a.f. - RJ
Paulo Victor de Almeida Barbosa,Paulo Victor,Ceará - CE
Paulo Vitor Fernandes Pereira,Paulo Vitor,Cruzeiro Saf - MG
Paulo Vitor Monteiro,Vitinho,Atlético Mineiro - MG
Pedro Augusto Borges da Costa,Pedro,Fortaleza - CE
Pedro Felipe de Faria Rangel,Pedro Rangel,Fluminense - RJ
Pedro Gabriel Pereira Lopes,Pedrinho,America Saf - MG
Pedro Guilherme Abreu dos Santos,Pedro,Flamengo - RJ
Pedro Henrique Azevedo Pereira,Pedrinho,
Pedro Henrique Cunha Scaramussa,Pedro Henrique,Santos - SP
Pedro Henrique de Assis,Pedrinho,Corinthians - SP
Pedro Henrique Fonseca de Araujo Martins,Pedrinho,Flamengo - RJ
Pedro Henrique Franklim da Silva,Pedrão,Cruzeiro Saf - MG
Pedro Henrique Konzen Medina da Silva,Pedro,Internacional - RS
Pedro Henrique Ribeiro Goncalves,Pedro Henrique,Athletico Paranaense - PR
Pedro Henrique Silva dos Santos,Pedrinho,Corinthians - SP
Pedro Junqueira de Oliveira,Pedrinho,Goiás - GO
Pedro Lima Barros,Pedro Lima,
Pedro Luccas Morisco da Silva,Pedro Morisco,Coritiba S.a.f. - PR
Pedro Raul Garay da Silva,Pedro Raul,
Pedro Rocha Neves,Pedro Rocha,Fortaleza - CE
Pedro Tonon Geromel,Geromel,Grêmio - RS
Pedro Veronez Vilhena,Pedrinho,São Paulo - SP
Pedro Victor da Silva Santos,Vitinho,Bahia - BA
Pedro Victor Delmino da Silva,Pedrinho,Atlético Mineiro - MG
Petterson Novaes Reis,Petterson,Flamengo - RJ
Philipe Sampaio Azevedo,Philipe,Botafogo - RJ
Philippe Almeida Costa,Philippe,Goiás - GO
Rafael Antonio Figueiredo Ramos,Rafael Ramos,Corinthians - SP
Rafael Bilu Mudesto,Bilu,Cruzeiro Saf - MG
Rafael Cabral Barbosa,Rafael Cabral,Cruzeiro Saf - MG
Rafael Elias da Silva,Rafael Papagaio,Cruzeiro Saf - MG
Rafael Gustavo Meneghel Gava,Rafael Gava,Avaí - SC
Rafael Monteiro Reis,Rafael Monteiro,Fluminense - RJ
Rafael Navarro Leal,Rafael Navarro,
Rafael Pereira da Silva,Rafael,Botafogo - RJ
Rafael Pires Monteiro,Rafael,São Paulo - SP
Rafael Raul Barcelos,Rafa,America Saf - MG
Rafael Rogerio da Silva,Rafael Ratão,Bahia - BA
Rafael Soares de Jesus,Rafael Soares,Bahia - BA
Rai da Silva Pessanha,RAI,Botafogo - RJ
Rai dos Reis Ramos,Rai,São Paulo - SP
Ramiro Moschen Benetti,Ramiro,Cruzeiro Saf - MG
Ramon Vargas de Jesus Farias,Ramon,Botafogo - RJ
Raniele Almeida Melo,Raniele,Cuiabá Saf - MT
Raphael Cavalcante Veiga,Raphael Veiga,Palmeiras - SP
Raphael Gregorio Guzzo,Raphael Guzzo,Goiás - GO
Raul Gustavo Pereira Bicalho,Raul Gustavo,Bahia - BA
Raul Lô Gonçalves,Raul,Red Bull Bragantino - SP
Ray Breno Silva Valentim,Ray,Vasco da Gama S.a.f. - RJ
Rayan Lucas Marques de Souza,Rayan Lucas,Flamengo - RJ
Rayan Vitor Simplício Rocha,Rayan,Vasco da Gama S.a.f. - RJ
Reinaldo Manoel da Silva,Reinaldo,Grêmio - RS
Reinaldo Nascimento Satorno,Reinaldo,
Renan Carrasco Veltri,Renan,Cuiabá Saf - MT
Renan Cunha Macedo Santana,Renan,Atlético Mineiro - MG
Renan Rodrigues Fonseca Viana,Renan Viana,Athletico Paranaense - PR
Renato Kayzer de Souza,Renato Kayzer,America Saf - MG
