Nome,Apelido,Clube
Bruno Uvini Bortolanca,Uvini,Grêmio - RS
Bruno Viana Willemen da Silva,Bruno Viana,
Bruno Vinicius Souza Ramos,Bruno,
Bruno Zapelli,Zapelli,Athletico Paranaense - PR
Bryan Jahir Garcia Realpe,Bryan Garcia,
Caio Alexandre Sousa E Silva,Caio,Fortaleza - CE
Caio da Silva Maia,Caio Maia,Atlético Mineiro - MG
Caio Dantas Batista de Maria,Caio Dantas,Fortaleza - CE
Caio Fernando de Oliveira,Caio Paulista,São Paulo - SP
Caio Henrique Ribas Dias de Araujo,CAIO RIBAS,Atlético Mineiro - MG
Caio Matheus da Silva,CAIO,São Paulo - SP
Caio Vinicius da Conceicao,Caio Vinicius,Fluminense - RJ
Caio Vinicius Garcia Guilhen,Caio,Flamengo - RJ
Caique Luiz Santos da Purificacao,Caique,Grêmio - RS
Calebe Gonçalves Ferreira da Silva,Calebe,Fortaleza - CE
Calebe Oliveira Costa,CALEBE,Cuiabá Saf - MT
Camilo Damian Candido Aquino,Camilo Cándido,Bahia - BA
Carlos Alberto Gomes da Silva Filho,Carlos Alberto,Botafogo - RJ
Carlos Daniel Gomez Ccasani,Carlos Gomez,Cruzeiro Saf - MG
Carlos de Menezes Junior,Cacá,Athletico Paranaense - PR
Carlos Eduardo Amaral Pereira de Castro,Cadu,Atlético Mineiro - MG
Carlos Eduardo Bertolassi da Silva,Cadu Silva,Santos - SP
Carlos Eduardo de Oliveira Alves,Carlos,Botafogo - RJ
Carlos Eduardo Piekny Neves,Cadu Neves,Vasco da Gama S.a.f. - RJ
Carlos Eduardo Santos,Biro,Athletico Paranaense - PR
Carlos Gilberto do Nascimento Silva,Gil,Corinthians - SP
Carlos Maria de Pena Bonino,Carlos de Pena,Internacional - RS
Carlos Miguel dos Santos Pereira,Carlos,Corinthians - SP
Carlos Sebastian Ferreira Vidal,Sebastian Ferreira,Vasco da Gama S.a.f. - RJ
Cassio Penafiel Acosta,Cássio,Grêmio - RS
Cassio Ramos,Cássio,Corinthians - SP
Cauã Paixão Souza,Paixão,Vasco da Gama S.a.f. - RJ
Cauan Lucas Barros da Luz,Barros,Vasco da Gama S.a.f. - RJ
Cauly Oliveira Souza,Cauly,Bahia - BA
Charles Mariano Aranguiz Sandoval,Aranguiz,Internacional - RS
Christian Chagas Tarouco,Christian,Fortaleza - CE
Christian Roberto Alves Cardoso,Christian,Athletico Paranaense - PR
Chrystian Amaral Barletta de Almeida,Chrystian,Ceará - CE
Claudio Rodrigues Gomes,Guga,Fluminense - RJ
Clayson Henrique da Silva Vieira,Clayson,Cuiabá Saf - MT
Cleiton Santana dos Santos,CLEITON,Flamengo - RJ
Cleiton Schwengber,Cleiton,Red Bull Bragantino - SP
Cristian David Pavon,Pavon,Atlético Mineiro - MG
Dalbert Henrique Chagas Estevão,Dalbert,Internacional - RS
Damian Marcelino Moreno,Marcelino Moreno,Coritiba S.a.f. - PR
Daniel Borges da Silva,Daniel Borges,Atlético Mineiro - MG
Daniel Camargo Nolasco,Nolasco,Goiás - GO
