Numero,Mandante,Visitante,PontosMandante,PontosVisitante,Local,Data
345,Goiás - GO,Cruzeiro Saf - MG,,,A definir,A definir
346,Atlético Mineiro - MG,Grêmio - RS,,,A definir,A definir
347,Internacional - RS,Red Bull Bragantino - SP,,,A definir,A definir
348,Athletico Paranaense - PR,Vasco da Gama S.a.f. - RJ,,,A definir,A definir
349,Fortaleza - CE,Palmeiras - SP,,,A definir,A definir
350,America Saf - MG,Flamengo - RJ,,,A definir,A definir
351,Flamengo - RJ,Atlético Mineiro - MG,,,A definir,A definir
352,Vasco da Gama S.a.f. - RJ,Corinthians - SP,,,A definir,A definir
353,Palmeiras - SP,America Saf - MG,,,A definir,A definir
354,Santos - SP,Fluminense - RJ,,,A definir,A definir
355,Red Bull Bragantino - SP,Fortaleza - CE,,,A definir,A definir
356,Cruzeiro Saf - MG,Athletico Paranaense - PR,,,A definir,A definir
357,Grêmio - RS,Goiás - GO,,,A definir,A definir
358,Coritiba S.a.f. - PR,Botafogo - RJ,,,A definir,A definir
359,Bahia - BA,São Paulo - SP,,,A definir,A definir
360,Cuiabá Saf - MT,Internacional - RS,,,A definir,A definir
361,Flamengo - RJ,Cuiabá Saf - MT,,,A definir,A definir
362,Botafogo - RJ,Cruzeiro Saf - MG,,,A definir,A definir
363,Palmeiras - SP,Fluminense - RJ,,,A definir,A definir
364,Corinthians - SP,Internacional - RS,,,A definir,A definir
365,Red Bull Bragantino - SP,Coritiba S.a.f. - PR,,,A definir,A definir
366,Atlético Mineiro - MG,São Paulo - SP,,,A definir,A definir
367,Grêmio - RS,Vasco da Gama S.a.f. - RJ,,,A definir,A definir
368,Athletico Paranaense - PR,Santos - SP,,,A definir,A definir
369,Fortaleza - CE,Goiás - GO,,,A definir,A definir
370,America Saf - MG,Bahia - BA,,,A definir,A definir
371,Fluminense - RJ,Grêmio - RS,,,A definir,A definir
372,Vasco da Gama S.a.f. - RJ,Red Bull Bragantino - SP,,,A definir,A definir
373,São Paulo - SP,Flamengo - RJ,,,A definir,A definir
374,Santos - SP,Fortaleza - CE,,,A definir,A definir
375,Goiás - GO,America Saf - MG,,,A definir,A definir
376,Cruzeiro Saf - MG,Palmeiras - SP,,,A definir,A definir
377,Internacional - RS,Botafogo - RJ,,,A definir,A definir
378,Coritiba S.a.f. - PR,Corinthians - SP,,,A definir,A definir
379,Bahia - BA,Atlético Mineiro - MG,,,A definir,A definir
